<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DMII.US,D,20251204,000000,9.86,9.88,9.86,9.88,79215,0
DMII.US,D,20251205,000000,9.88,9.88,9.88,9.88,209853,0
DMII.US,D,20251208,000000,9.88,9.89,9.87,9.87,993878,0
DMII.US,D,20251209,000000,9.87,9.88,9.87,9.88,81149,0
DMII.US,D,20251210,000000,9.88,9.89,9.875,9.88,291836,0
DMII.US,D,20251211,000000,9.89,9.89,9.87,9.87,70154,0
DMII.US,D,20251212,000000,9.88,9.89,9.87,9.87,23977,0
DMII.US,D,20251215,000000,9.88,9.88,9.87,9.87,7823,0
DMII.US,D,20251216,000000,9.875,9.88,9.87,9.87,63048,0
DMII.US,D,20251217,000000,9.88,9.88,9.88,9.88,2412,0
DMII.US,D,20251219,000000,9.88,9.92,9.875,9.92,372117,0
DMII.US,D,20251222,000000,9.89,9.9,9.88,9.88,15682,0
DMII.US,D,20251223,000000,9.9,9.9,9.8898,9.9,66884,0
DMII.US,D,20251224,000000,9.9,9.9,9.9,9.9,419,0
DMII.US,D,20251226,000000,9.91,9.91,9.89,9.9,192861,0
DMII.US,D,20251229,000000,9.91,9.91,9.895,9.9,6710,0
DMII.US,D,20251230,000000,9.89,9.91,9.88,9.91,23236,0
DMII.US,D,20251231,000000,9.9,9.9,9.9,9.9,200293,0
DMII.US,D,20260102,000000,9.9,9.9,9.9,9.9,11739,0
DMII.US,D,20260105,000000,9.9,9.905,9.89,9.89,429974,0
DMII.US,D,20260106,000000,9.91,9.91,9.88,9.88,3423,0
DMII.US,D,20260107,000000,9.895,9.915,9.895,9.915,210467,0
DMII.US,D,20260108,000000,9.91,9.925,9.91,9.915,172012,0
DMII.US,D,20260109,000000,9.92,9.92,9.92,9.92,3109,0
