<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DNMX.US,D,20251119,000000,9.96,9.96,9.95,9.95,17301,0
DNMX.US,D,20251120,000000,9.95,9.961,9.9298,9.94,268039,0
DNMX.US,D,20251121,000000,9.95,9.95,9.95,9.95,169,0
DNMX.US,D,20251124,000000,9.8915,9.95,9.8915,9.94,10740,0
DNMX.US,D,20251125,000000,9.935,9.94,9.93,9.93,2719,0
DNMX.US,D,20251126,000000,9.94,9.94,9.93,9.93,7401,0
DNMX.US,D,20251128,000000,9.94,9.94,9.94,9.94,138,0
DNMX.US,D,20251201,000000,9.94,9.94,9.9063,9.91,118831,0
DNMX.US,D,20251202,000000,9.91,9.91,9.91,9.91,5530,0
DNMX.US,D,20251203,000000,9.91,9.91,9.91,9.91,10000,0
DNMX.US,D,20251204,000000,9.905,9.905,9.89,9.9,22110,0
DNMX.US,D,20251208,000000,9.9,9.9,9.9,9.9,159021,0
DNMX.US,D,20251209,000000,9.9,9.905,9.9,9.905,13445,0
DNMX.US,D,20251210,000000,9.9,9.905,9.89,9.89,20085,0
DNMX.US,D,20251215,000000,9.89,9.8967,9.89,9.8967,6565,0
DNMX.US,D,20251216,000000,9.89,9.895,9.88,9.89,332750,0
DNMX.US,D,20251217,000000,9.89,9.9,9.89,9.8904,568124,0
DNMX.US,D,20251218,000000,9.89,9.89,9.89,9.89,259403,0
DNMX.US,D,20251219,000000,9.89,9.89,9.88,9.88,789299,0
DNMX.US,D,20251222,000000,9.89,9.89,9.89,9.89,500,0
DNMX.US,D,20251223,000000,9.885,9.89,9.885,9.8887,30514,0
DNMX.US,D,20251224,000000,9.89,9.89,9.89,9.89,241,0
DNMX.US,D,20251226,000000,9.89,9.89,9.89,9.89,2594,0
DNMX.US,D,20251229,000000,9.89,9.89,9.89,9.89,4810,0
DNMX.US,D,20251230,000000,9.89,9.89,9.89,9.89,1793,0
DNMX.US,D,20251231,000000,9.89,9.89,9.89,9.89,166,0
DNMX.US,D,20260105,000000,9.9,9.9,9.8661,9.88,283747,0
DNMX.US,D,20260106,000000,9.88,9.88,9.8747,9.88,7509,0
DNMX.US,D,20260107,000000,9.915,9.915,9.88,9.88,28660,0
DNMX.US,D,20260109,000000,9.88,9.8918,9.88,9.8918,3532,0
