<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GARY.US,D,20251222,000000,20.2,20.2,20.181,20.181,812,0
GARY.US,D,20251223,000000,20.48,20.48,20.1332,20.2341,1843,0
GARY.US,D,20251224,000000,20.3287,20.3645,20.32,20.3645,2557,0
GARY.US,D,20251226,000000,20.43,20.43,20.3956,20.3956,433,0
GARY.US,D,20251229,000000,20.34,20.3961,20.34,20.3961,1258,0
GARY.US,D,20251230,000000,20.48,20.48,20.3572,20.3572,79923,0
GARY.US,D,20251231,000000,20.29,20.29,20.22,20.22,1582,0
GARY.US,D,20260102,000000,20.795,20.81,20.7522,20.7522,1493,0
GARY.US,D,20260105,000000,21.05,21.08,20.9881,20.9881,2955,0
GARY.US,D,20260106,000000,21.34,21.34,21.27,21.3384,7338,0
GARY.US,D,20260107,000000,21.32,21.32,21.1013,21.1013,2163,0
GARY.US,D,20260108,000000,21.1,21.1,20.83,20.8741,2990,0
GARY.US,D,20260109,000000,20.965,21.25,20.965,21.25,2021,0
