<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYNE.US,D,20251205,000000,13.75,14,13.645,13.8,226450,0
HYNE.US,D,20251208,000000,13.93,14.25,13.92,14.06,143998,0
HYNE.US,D,20251209,000000,13.94,14.06,13.72,13.83,107618,0
HYNE.US,D,20251210,000000,13.81,13.9,13.72,13.72,211084,0
HYNE.US,D,20251211,000000,13.75,13.839,13.7,13.75,123620,0
HYNE.US,D,20251212,000000,13.75,13.77,13.56,13.67,153164,0
HYNE.US,D,20251215,000000,13.74,13.78,13.56,13.69,104190,0
HYNE.US,D,20251216,000000,13.695,13.75,13.65,13.7,64106,0
HYNE.US,D,20251217,000000,13.71,13.71,13.647,13.7,30872,0
HYNE.US,D,20251218,000000,13.71,13.75,13.6284,13.7,117782,0
HYNE.US,D,20251219,000000,13.7,13.75,13.65,13.7,106372,0
HYNE.US,D,20251222,000000,13.75,13.75,13.65,13.75,131809,0
HYNE.US,D,20251223,000000,13.7295,13.9,13.71,13.85,99890,0
HYNE.US,D,20251224,000000,13.85,13.85,13.76,13.76,22911,0
HYNE.US,D,20251226,000000,13.7817,13.85,13.76,13.85,37669,0
HYNE.US,D,20251229,000000,13.9,14.09,13.9,14.04,160412,0
HYNE.US,D,20251230,000000,14.06,14.4,14.06,14.385,182644,0
HYNE.US,D,20251231,000000,14.4,14.6,14.38,14.49,177343,0
HYNE.US,D,20260102,000000,14.39,14.55,14.025,14.19,135749,0
HYNE.US,D,20260105,000000,14.2,14.55,14.2,14.46,133912,0
HYNE.US,D,20260106,000000,14.51,14.6,14.4,14.53,67845,0
HYNE.US,D,20260107,000000,14.53,14.53,14.02,14.17,83874,0
HYNE.US,D,20260108,000000,14.17,14.45,14.15,14.29,35732,0
HYNE.US,D,20260109,000000,14.216,14.216,14.16,14.216,22015,0
