<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IREG.US,D,20251217,000000,16.46,16.46,13.35,13.4556,32289,0
IREG.US,D,20251218,000000,15.255,15.91,14.57,15.0644,21698,0
IREG.US,D,20251219,000000,16.64,18.56,16.64,18.5387,33096,0
IREG.US,D,20251222,000000,20.34,21.859,19.55,20.5021,52374,0
IREG.US,D,20251223,000000,19.8633,21.69,19.8633,20.5271,15642,0
IREG.US,D,20251224,000000,20.14,21.27,19.69,20.316,5909,0
IREG.US,D,20251226,000000,20.52,20.56,18.25,18.8251,26379,0
IREG.US,D,20251229,000000,18,20.53,17.63,17.9256,7942,0
IREG.US,D,20251230,000000,17.81,17.93,16.8868,16.8868,18924,0
IREG.US,D,20251231,000000,16.3,16.5119,16,16.5119,3889,0
IREG.US,D,20260102,000000,17.5774,20.75,17.2,20.6209,18162,0
IREG.US,D,20260105,000000,22.27,26.0078,22.23,26.0025,40525,0
IREG.US,D,20260106,000000,25.11,25.29,20.625,23.5314,82019,0
IREG.US,D,20260107,000000,22.7,24.095,21.25,21.2776,36211,0
IREG.US,D,20260108,000000,20.6201,24.515,20.54,23.09,32175,0
IREG.US,D,20260109,000000,23.84,27.43,23.4,23.43,35856,0
