<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVSI.US,D,20251212,000000,25.48,25.48,25.3553,25.3553,1568,0
IVSI.US,D,20251215,000000,25.55,25.55,25.5,25.545,82564,0
IVSI.US,D,20251216,000000,25.51,25.51,25.421,25.421,201,0
IVSI.US,D,20251217,000000,25.2988,25.32,25.1962,25.1962,4396,0
IVSI.US,D,20251218,000000,25.41,25.49,25.35,25.3523,10082,0
IVSI.US,D,20251222,000000,25.53,25.58,25.5175,25.535,1438,0
IVSI.US,D,20251223,000000,25.676,25.75,25.676,25.715,1164,0
IVSI.US,D,20251224,000000,25.83,25.84,25.7462,25.7462,2950,0
IVSI.US,D,20251226,000000,25.75,25.85,25.75,25.7654,411,0
IVSI.US,D,20251229,000000,25.81,25.83,25.7162,25.7162,3540,0
IVSI.US,D,20251230,000000,25.87,25.9,25.8551,25.8551,3817,0
IVSI.US,D,20251231,000000,25.85,25.85,25.7024,25.7088,3649,0
IVSI.US,D,20260102,000000,25.8688,25.8838,25.8688,25.8838,150,0
IVSI.US,D,20260105,000000,26.04,26.2,26.0291,26.085,7323,0
IVSI.US,D,20260106,000000,26.2325,26.2793,26.215,26.2245,3852,0
IVSI.US,D,20260107,000000,26.18,26.18,26.1074,26.1074,1977,0
IVSI.US,D,20260108,000000,26.12,26.12,26.044,26.12,3004,0
IVSI.US,D,20260109,000000,26.25,26.36,26.21,26.35,3963,0
