<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KBONU.US,D,20251212,000000,10.04,10.08,10.04,10.07,539894,0
KBONU.US,D,20251215,000000,10.07,10.09,10.05,10.08,733524,0
KBONU.US,D,20251216,000000,10.08,10.09,10.07,10.08,553511,0
KBONU.US,D,20251217,000000,10.0786,10.08,10.07,10.08,165485,0
KBONU.US,D,20251218,000000,10.08,10.08,10.07,10.08,6117,0
KBONU.US,D,20251219,000000,10.01,10.08,10.01,10.08,12988,0
KBONU.US,D,20251222,000000,10.08,10.085,10.06,10.06,6160,0
KBONU.US,D,20251223,000000,10.06,10.08,10.06,10.08,19975,0
KBONU.US,D,20251224,000000,10.08,10.08,10.07,10.07,711,0
KBONU.US,D,20251226,000000,10.08,10.085,10.05,10.05,3451,0
KBONU.US,D,20251229,000000,10.08,10.08,10.06,10.06,11086,0
KBONU.US,D,20251230,000000,10.0817,10.11,10.0513,10.06,35447,0
KBONU.US,D,20251231,000000,10.067,10.07,10.06,10.065,6602,0
KBONU.US,D,20260102,000000,10.08,10.12,10.06,10.07,39183,0
KBONU.US,D,20260105,000000,10.09,10.09,10.07,10.07,40168,0
KBONU.US,D,20260106,000000,10.07,10.095,10.07,10.08,65969,0
KBONU.US,D,20260107,000000,10.09,10.09,10.07,10.08,14468,0
KBONU.US,D,20260108,000000,10.0894,10.105,10.085,10.09,3139,0
KBONU.US,D,20260109,000000,10.08,10.12,10.08,10.08,79815,0
