<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LACG.US,D,20251212,000000,16.1276,16.1276,14.555,14.6881,927,0
LACG.US,D,20251215,000000,13.53,13.53,13.201,13.228,632,0
LACG.US,D,20251216,000000,13.685,13.81,12.8884,12.8884,12851,0
LACG.US,D,20251217,000000,13.34,13.34,11.8419,11.8419,1603,0
LACG.US,D,20251219,000000,12.99,12.99,12.41,12.6574,1540,0
LACG.US,D,20251222,000000,13.9022,13.9022,13.3328,13.3328,1030,0
LACG.US,D,20251223,000000,13.37,13.99,12.6875,12.6875,7234,0
LACG.US,D,20251224,000000,12.47,13.0409,12.47,13.0409,181,0
LACG.US,D,20251226,000000,12.4299,12.7,12.38,12.3931,10813,0
LACG.US,D,20251229,000000,11.3,11.45,11.3,11.355,1535,0
LACG.US,D,20251230,000000,11.35,11.35,10.7489,10.7489,1149,0
LACG.US,D,20251231,000000,10.7,10.7,10.4634,10.4634,1525,0
LACG.US,D,20260105,000000,14.88,15.13,14.7401,14.8186,5778,0
LACG.US,D,20260106,000000,15.97,16.42,15.15,16.2043,26099,0
LACG.US,D,20260107,000000,16.25,17.31,16.19,17.0694,11389,0
LACG.US,D,20260108,000000,16.6,17.2,16.05,16.5516,7105,0
LACG.US,D,20260109,000000,16.5,16.5,15.63,15.63,3470,0
