<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LFACU.US,D,20251205,000000,10.01,10.03,10.01,10.01,4293545,0
LFACU.US,D,20251208,000000,10.01,10.045,10.01,10.03,212253,0
LFACU.US,D,20251209,000000,10.05,10.1,10.02,10.02,556279,0
LFACU.US,D,20251210,000000,10.03,10.03,10.02,10.02,103329,0
LFACU.US,D,20251211,000000,10.03,10.03,10.02,10.025,35659,0
LFACU.US,D,20251212,000000,10.02,10.03,10.02,10.02,265949,0
LFACU.US,D,20251215,000000,10,10,10,10,961,0
LFACU.US,D,20251216,000000,10.1,10.1,10.03,10.03,2887,0
LFACU.US,D,20251217,000000,10.01,10.01,10.01,10.01,327,0
LFACU.US,D,20251218,000000,10.02,10.02,9.995,9.995,28478,0
LFACU.US,D,20251219,000000,10.01,10.015,10,10.005,182373,0
LFACU.US,D,20251222,000000,9.99,9.99,9.99,9.99,241,0
LFACU.US,D,20251223,000000,10.005,10.0078,10.005,10.0078,343,0
LFACU.US,D,20251226,000000,10.015,10.015,10,10,2347,0
LFACU.US,D,20251229,000000,10.02,10.02,10.02,10.02,1266,0
LFACU.US,D,20251230,000000,9.99,9.99,9.99,9.99,27595,0
LFACU.US,D,20251231,000000,10.043,10.043,10.005,10.005,14173,0
LFACU.US,D,20260105,000000,10.01,10.02,10.005,10.01,194556,0
LFACU.US,D,20260107,000000,10.01,10.0705,10.01,10.02,358237,0
LFACU.US,D,20260108,000000,10.01,10.01,10.01,10.01,200,0
LFACU.US,D,20260109,000000,10.0496,10.12,10.01,10.04,3890,0
