<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MATE.US,D,20251217,000000,25.18,25.22,22.68,24.7904,5911,0
MATE.US,D,20251218,000000,25.2147,25.39,25.03,25.39,9862,0
MATE.US,D,20251219,000000,25.53,25.62,25.495,25.6152,4899,0
MATE.US,D,20251222,000000,25.91,26.03,25.854,25.9852,10935,0
MATE.US,D,20251223,000000,26.09,26.2404,26.04,26.2404,7794,0
MATE.US,D,20251224,000000,26.245,26.435,26.2105,26.4152,12563,0
MATE.US,D,20251226,000000,26.79,26.8,26.69,26.7999,5582,0
MATE.US,D,20251229,000000,26.21,26.875,25,26.0983,8491,0
MATE.US,D,20251230,000000,26.43,26.465,26.3618,26.3618,971,0
MATE.US,D,20251231,000000,26.09,26.09,25.8479,25.8479,11962,0
MATE.US,D,20260102,000000,26.19,26.19,25.9,26.0649,2898,0
MATE.US,D,20260105,000000,26.746,26.88,26.7,26.8152,19880,0
MATE.US,D,20260106,000000,26.9424,27.2613,26.922,27.2613,54903,0
MATE.US,D,20260107,000000,27.0999,27.0999,26.9028,26.9028,674,0
MATE.US,D,20260108,000000,26.84,26.8952,26.82,26.8952,9328,0
MATE.US,D,20260109,000000,27.15,27.44,27.15,27.44,12638,0
