<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDLN.US,D,20251217,000000,35,41.25,34.89,41,78930891,0
MDLN.US,D,20251218,000000,38.15,41.74,38,39.5,17989824,0
MDLN.US,D,20251219,000000,38.82,43.9,38.82,41.65,16953220,0
MDLN.US,D,20251222,000000,42.1,43.45,41.35,42.18,7282683,0
MDLN.US,D,20251223,000000,42.6,44.3,40.59,43.63,20779652,0
MDLN.US,D,20251224,000000,44.07,45.01,43.55,44.28,4404348,0
MDLN.US,D,20251226,000000,44.5,45.5,43.61,44.13,21088664,0
MDLN.US,D,20251229,000000,43.57,43.7918,41.735,42,6589586,0
MDLN.US,D,20251230,000000,42.105,43.275,41.61,41.92,7014196,0
MDLN.US,D,20251231,000000,41.94,43.08,41.21,42,5814678,0
MDLN.US,D,20260102,000000,41.91,42.04,40,40.62,7349356,0
MDLN.US,D,20260105,000000,40.55,41,38.93,39,9798775,0
MDLN.US,D,20260106,000000,38.87,39.9,38.5,39.77,7680218,0
MDLN.US,D,20260107,000000,39.37,41.05,39.25,40.43,5186340,0
MDLN.US,D,20260108,000000,40.25,41.64,40,41.25,5297059,0
MDLN.US,D,20260109,000000,41.49,42.94,40.1156,40.52,2676636,0
