<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MEMA.US,D,20251217,000000,25.06,25.06,25.06,25.06,390052,0
MEMA.US,D,20251218,000000,25.2178,25.2178,25.11,25.11,331,0
MEMA.US,D,20251219,000000,25.3999,25.425,25.3999,25.425,1243,0
MEMA.US,D,20251222,000000,25.52,25.52,25.485,25.485,8236,0
MEMA.US,D,20251223,000000,25.63,25.7221,25.63,25.7221,13493,0
MEMA.US,D,20251224,000000,25.77,25.77,25.721,25.721,523,0
MEMA.US,D,20251226,000000,25.9,25.9,25.865,25.8851,1841,0
MEMA.US,D,20251229,000000,25.64,25.78,25.64,25.7525,1574,0
MEMA.US,D,20260105,000000,26.6,26.7669,26.59,26.7669,10692,0
MEMA.US,D,20260107,000000,26.9209,26.99,26.8666,26.8666,1504,0
MEMA.US,D,20260108,000000,26.8491,26.8491,26.8487,26.8487,730,0
