<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MESHU.US,D,20251211,000000,10.015,10.02,10,10,1092089,0
MESHU.US,D,20251212,000000,10.005,10.01,10,10,736082,0
MESHU.US,D,20251215,000000,10,10.03,10,10.01,627685,0
MESHU.US,D,20251216,000000,10,10.017,10,10.01,36327,0
MESHU.US,D,20251217,000000,10.01,10.02,10,10.01,384441,0
MESHU.US,D,20251218,000000,10.015,10.015,10,10.01,410913,0
MESHU.US,D,20251219,000000,10.01,10.01,10,10,62707,0
MESHU.US,D,20251222,000000,10,10,10,10,26295,0
MESHU.US,D,20251223,000000,10,10.0028,10,10.0028,58977,0
MESHU.US,D,20251224,000000,10,10,10,10,11231,0
MESHU.US,D,20251226,000000,10.01,10.02,10.01,10.02,437,0
MESHU.US,D,20251229,000000,10,10.01,10,10,7464,0
MESHU.US,D,20251230,000000,10.01,10.01,10,10.01,237810,0
MESHU.US,D,20251231,000000,10,10.005,10,10,7109,0
MESHU.US,D,20260102,000000,10,10.01,10,10.005,4884,0
MESHU.US,D,20260105,000000,10,10.01,10,10.01,254505,0
MESHU.US,D,20260106,000000,10,10.01,10,10.01,8380,0
MESHU.US,D,20260107,000000,10,10.01,10,10,42610,0
MESHU.US,D,20260108,000000,10,10.01,10,10.01,3082,0
MESHU.US,D,20260109,000000,10,10.01,10,10.005,12127,0
