<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MFMO.US,D,20251209,000000,20.03,20.11,20.018,20.05,24075,0
MFMO.US,D,20251210,000000,20.24,20.24,19.9299,20.0317,7461,0
MFMO.US,D,20251211,000000,19.852,20.195,19.84,20.1799,19077,0
MFMO.US,D,20251212,000000,20.02,20.02,19.6206,19.6206,1274,0
MFMO.US,D,20251215,000000,19.57,19.6,19.466,19.466,3244,0
MFMO.US,D,20251216,000000,19.63,19.63,19.38,19.4835,7522,0
MFMO.US,D,20251217,000000,19.3,19.3,19.0901,19.0901,4629,0
MFMO.US,D,20251218,000000,19.53,19.53,19.38,19.4125,9420,0
MFMO.US,D,20251219,000000,19.59,19.81,19.59,19.7604,15227,0
MFMO.US,D,20251222,000000,20.02,20.12,19.8874,19.9168,10292,0
MFMO.US,D,20251223,000000,19.9,19.98,19.9,19.9679,3947,0
MFMO.US,D,20251224,000000,20.21,20.21,19.96,20.0433,1783,0
MFMO.US,D,20251226,000000,20.02,20.02,19.98,20.0135,844,0
MFMO.US,D,20251229,000000,20.1,20.1,19.85,19.8939,5021,0
MFMO.US,D,20251230,000000,19.86,19.93,19.8411,19.845,9838,0
MFMO.US,D,20251231,000000,19.78,19.8,19.6688,19.6688,11373,0
MFMO.US,D,20260102,000000,19.9312,19.9312,19.7,19.8714,1929,0
MFMO.US,D,20260105,000000,20.28,20.28,20.07,20.0967,6823,0
MFMO.US,D,20260106,000000,20.07,20.24,20.03,20.225,12502,0
MFMO.US,D,20260107,000000,20.42,20.42,20.13,20.1616,9684,0
MFMO.US,D,20260108,000000,20.2,20.2,19.86,19.9213,7162,0
MFMO.US,D,20260109,000000,20.09,20.24,20.09,20.21,11574,0
