<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MFVL.US,D,20251209,000000,20.06,20.12,20.0264,20.0264,37060,0
MFVL.US,D,20251210,000000,20.27,20.28,20.11,20.2173,8908,0
MFVL.US,D,20251211,000000,20.22,20.4,20.22,20.3882,14883,0
MFVL.US,D,20251212,000000,20.58,20.58,20.35,20.4009,11833,0
MFVL.US,D,20251215,000000,20.55,20.55,20.27,20.3398,9246,0
MFVL.US,D,20251216,000000,20.37,20.37,20.18,20.2381,9652,0
MFVL.US,D,20251217,000000,20.35,20.35,20.257,20.257,16155,0
MFVL.US,D,20251218,000000,20.4,20.4,20.23,20.2476,7123,0
MFVL.US,D,20251219,000000,20.26,20.33,20.22,20.28,18355,0
MFVL.US,D,20251222,000000,20.46,20.46,20.34,20.3852,11016,0
MFVL.US,D,20251223,000000,20.4,20.4,20.32,20.365,8277,0
MFVL.US,D,20251224,000000,20.4399,20.4794,20.4399,20.4794,3798,0
MFVL.US,D,20251226,000000,20.44,20.475,20.4,20.475,5477,0
MFVL.US,D,20251229,000000,20.73,20.73,20.41,20.4481,6925,0
MFVL.US,D,20251230,000000,20.45,20.46,20.4,20.4217,8895,0
MFVL.US,D,20251231,000000,20.69,20.69,20.3042,20.3042,16248,0
MFVL.US,D,20260102,000000,20.41,20.41,20.15,20.2405,3807,0
MFVL.US,D,20260105,000000,20.56,20.56,20.3717,20.4787,2014,0
MFVL.US,D,20260106,000000,20.54,20.69,20.5126,20.685,12178,0
MFVL.US,D,20260107,000000,20.98,20.98,20.57,20.5725,11395,0
MFVL.US,D,20260108,000000,20.55,20.74,20.505,20.705,8538,0
MFVL.US,D,20260109,000000,21.05,21.05,20.7,20.705,15710,0
