<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYMK.US,D,20250917,000000,25.0885,25.0885,25.06,25.06,2027,0
MYMK.US,D,20250918,000000,25.06,25.06,25.045,25.045,717,0
MYMK.US,D,20250919,000000,25.01,25.04,25.01,25.04,1306,0
MYMK.US,D,20251210,000000,25.08,25.08,25.075,25.075,2800,0
MYMK.US,D,20251211,000000,25.07,25.12,25.07,25.09,3970,0
MYMK.US,D,20251212,000000,25.08,25.1,25.08,25.09,15155,0
MYMK.US,D,20251215,000000,25.07,25.07,25.07,25.07,2443,0
MYMK.US,D,20251216,000000,25.1,25.14,25.1,25.115,2921,0
MYMK.US,D,20251226,000000,25.07,25.07,25.04,25.04,601,0
MYMK.US,D,20260106,000000,25.16,25.18,25.145,25.145,12912,0
