<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NIOG.US,D,20251219,000000,15.99,16,15.745,15.745,4512,0
NIOG.US,D,20251222,000000,16,16.01,15.85,15.905,2076,0
NIOG.US,D,20251224,000000,15.06,15.27,15.06,15.27,1532,0
NIOG.US,D,20251226,000000,16.3101,16.69,16.3101,16.5024,1088,0
NIOG.US,D,20251229,000000,17.54,17.9659,17.3972,17.9659,7014,0
NIOG.US,D,20251230,000000,19.12,21.04,19.12,19.2128,16103,0
NIOG.US,D,20251231,000000,18.61,18.61,15.45,16.21,19442,0
NIOG.US,D,20260102,000000,17.24,17.25,16.3501,16.655,19092,0
NIOG.US,D,20260105,000000,15.35,15.35,14.68,14.77,26433,0
NIOG.US,D,20260106,000000,15.37,15.6,14.03,14.1402,18598,0
NIOG.US,D,20260107,000000,14.14,14.45,14.0473,14.2448,8580,0
NIOG.US,D,20260108,000000,14.24,14.24,13.6,13.9237,8000,0
NIOG.US,D,20260109,000000,14,14,13.25,13.6,20269,0
