<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OBTC.US,D,20251222,000000,28.87,29,28.28,28.4228,167748,0
OBTC.US,D,20251223,000000,28.17,28.385,27.91,28.1839,139672,0
OBTC.US,D,20251224,000000,28.04,28.135,27.86,28.0476,157769,0
OBTC.US,D,20251226,000000,27.97,28.1994,27.95,28.1994,31670,0
OBTC.US,D,20251229,000000,28.11,28.28,27.97,27.9929,330645,0
OBTC.US,D,20251230,000000,28.29,28.68,28.21,28.2734,32157,0
OBTC.US,D,20251231,000000,28.22,28.245,27.98,28.1636,6264,0
OBTC.US,D,20260102,000000,28.55,29.22,28.5,28.8316,68910,0
OBTC.US,D,20260105,000000,29.81,30.4899,29.78,30.346,89379,0
OBTC.US,D,20260106,000000,30.365,30.365,29.235,29.7324,39014,0
OBTC.US,D,20260107,000000,29.42,29.515,29.0808,29.0808,16085,0
OBTC.US,D,20260108,000000,28.76,29.4109,28.76,29.2683,17186,0
OBTC.US,D,20260109,000000,29.1,29.57,29.0004,29.03,7264,0
