<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OKTG.US,D,20251117,000000,14.63,14.63,14.0369,14.0369,1370,0
OKTG.US,D,20251120,000000,13.31,13.34,12.9922,12.9922,324,0
OKTG.US,D,20251121,000000,13.01,13.2488,12.92,13.1006,821,0
OKTG.US,D,20251124,000000,13.2099,13.54,13.2099,13.2498,927,0
OKTG.US,D,20251125,000000,13.1297,14.1,13.1297,13.9552,6887,0
OKTG.US,D,20251126,000000,13.82,13.82,13.7294,13.7294,322,0
OKTG.US,D,20251201,000000,13.53,13.7421,13.53,13.7359,959,0
OKTG.US,D,20251202,000000,14,14.33,13.7569,14.202,69928,0
OKTG.US,D,20251203,000000,11.79,15.79,11.79,15.7015,50003,0
OKTG.US,D,20251204,000000,15.6,16.04,15.22,15.4984,5817,0
OKTG.US,D,20251205,000000,15.16,15.4559,15.16,15.4559,332,0
OKTG.US,D,20251208,000000,16.04,16.18,15.82,16.1037,8058,0
OKTG.US,D,20251209,000000,15.87,16.22,15.87,16.19,2044,0
OKTG.US,D,20251210,000000,16.24,17,16.24,16.9225,1667,0
OKTG.US,D,20251211,000000,17.04,17.22,17.04,17.1927,758,0
OKTG.US,D,20251212,000000,17.18,17.18,16.9,16.9847,1169,0
OKTG.US,D,20251215,000000,16.3701,16.3701,16.2675,16.2675,884,0
OKTG.US,D,20251216,000000,16.6,17.1634,16.6,17.1634,2556,0
OKTG.US,D,20251217,000000,16.5859,16.5859,16.3158,16.3158,700,0
OKTG.US,D,20251218,000000,16.48,17.11,16.48,16.9756,2795,0
OKTG.US,D,20251222,000000,17.58,17.58,17.181,17.181,381,0
OKTG.US,D,20251223,000000,16.99,17.05,16.305,16.5019,5600,0
OKTG.US,D,20251224,000000,16.48,16.48,16.1117,16.2853,1405,0
OKTG.US,D,20251226,000000,16.15,16.3094,16.15,16.3094,1829,0
OKTG.US,D,20251229,000000,16.04,16.0933,16,16.0933,782,0
OKTG.US,D,20251230,000000,16.0228,16.08,15.8474,15.8474,1107,0
OKTG.US,D,20251231,000000,15.7899,15.79,15.4933,15.4933,1765,0
OKTG.US,D,20260102,000000,14.8,14.8,14.4,14.4292,5161,0
OKTG.US,D,20260105,000000,15.19,17.325,15,15.8869,3672,0
OKTG.US,D,20260106,000000,16.55,16.8272,16.5499,16.8272,1287,0
OKTG.US,D,20260107,000000,16.97,18.29,16.97,18.0944,3983,0
OKTG.US,D,20260108,000000,17.99,18.1274,17.87,18.1274,2644,0
OKTG.US,D,20260109,000000,17.35,17.4414,17.34,17.4414,514,0
