<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPEG.US,D,20251212,000000,15.17,15.17,13.0531,13.0531,5352,0
OPEG.US,D,20251215,000000,13,13.13,11.94,12.6028,9156,0
OPEG.US,D,20251216,000000,13.12,13.9,12.68,13.6546,4202,0
OPEG.US,D,20251217,000000,13.99,14.2,11.1016,11.1016,2347,0
OPEG.US,D,20251218,000000,12.65,12.82,11.745,11.7835,2660,0
OPEG.US,D,20251219,000000,11.93,12.22,11.6,12.0195,6235,0
OPEG.US,D,20251222,000000,13.301,13.5589,12.2484,12.2484,26124,0
OPEG.US,D,20251223,000000,12.49,12.49,11.63,11.6893,11270,0
OPEG.US,D,20251224,000000,11.78,11.78,11.7059,11.7059,1407,0
OPEG.US,D,20251226,000000,11.02,11.15,10.8159,10.8159,16006,0
OPEG.US,D,20251229,000000,10.5445,10.72,10.0135,10.0135,14080,0
OPEG.US,D,20251230,000000,9.649,10.11,9.49,10.0991,3456,0
OPEG.US,D,20251231,000000,10.4,10.4,10.0904,10.0904,5399,0
OPEG.US,D,20260102,000000,10.43,10.7928,10.43,10.7928,7866,0
OPEG.US,D,20260105,000000,10.75,11.7626,10.67,11.7626,12223,0
OPEG.US,D,20260106,000000,11.89,14.09,11.57,13.9721,12688,0
OPEG.US,D,20260107,000000,13.62,13.62,10.51,10.7007,30050,0
OPEG.US,D,20260108,000000,11.617193,12.61,11.4412,11.7581,12688,0
OPEG.US,D,20260109,000000,14.35,16.86,14.35,14.9,52655,0
