<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBEU.US,D,20251125,000000,25.85,25.85,25.8344,25.8344,102,0
PBEU.US,D,20251126,000000,26.2,26.3,26.2,26.28,2500,0
PBEU.US,D,20251201,000000,26.6,26.6,26.534,26.534,504,0
PBEU.US,D,20251205,000000,26.92,26.9201,26.6977,26.6977,210,0
PBEU.US,D,20251211,000000,27.9499,27.9499,27.8377,27.8377,141,0
PBEU.US,D,20251215,000000,27.92,27.9499,27.92,27.9499,143,0
PBEU.US,D,20251222,000000,28.57,28.57,28.5376,28.5376,1502,0
PBEU.US,D,20260102,000000,29.29,29.4,29.205,29.3272,123871,0
PBEU.US,D,20260105,000000,29.21,29.59,29.21,29.4831,77058,0
PBEU.US,D,20260106,000000,29.41,29.4142,29.295,29.297,292626,0
PBEU.US,D,20260107,000000,28.856,28.88,28.7501,28.7947,89208,0
PBEU.US,D,20260108,000000,28.96,29.16,28.96,29.1391,69479,0
PBEU.US,D,20260109,000000,29.09,29.13,29.03,29.04,83399,0
