<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QBY.US,D,20251126,000000,24.76,24.76,24.19,24.3984,5039,0
QBY.US,D,20251128,000000,23.8921,24.08,23.8921,24.0305,1136,0
QBY.US,D,20251201,000000,23.57,23.57,22.3286,22.3286,3119,0
QBY.US,D,20251202,000000,22.868,22.87,22.565,22.845,2929,0
QBY.US,D,20251203,000000,22.94,23.405,22.8,23.405,6674,0
QBY.US,D,20251204,000000,23.48,23.63,23.4632,23.577,15263,0
QBY.US,D,20251205,000000,22.97,22.97,22.81,22.895,2083,0
QBY.US,D,20251208,000000,22.95,22.95,22.905,22.92,4385,0
QBY.US,D,20251209,000000,22.92,23.02,22.555,22.9267,4557,0
QBY.US,D,20251210,000000,22.62,22.8901,22.4148,22.4148,4700,0
QBY.US,D,20251211,000000,22.53,23.15,21.9869,22.8748,19029,0
QBY.US,D,20251212,000000,22.11,22.22,21.1301,21.403,4214,0
QBY.US,D,20251215,000000,21.42,21.42,20.75,20.805,8372,0
QBY.US,D,20251216,000000,21.1402,21.3228,20.96,21.3228,7735,0
QBY.US,D,20251217,000000,21.51,21.57,20.8722,20.8722,3564,0
QBY.US,D,20251218,000000,21.502,21.5186,21.1983,21.3894,9508,0
QBY.US,D,20251219,000000,21.0001,21.3433,21.0001,21.3433,9434,0
QBY.US,D,20251222,000000,21.4,21.4,21.35,21.35,3056,0
QBY.US,D,20251223,000000,20.988,21.2616,20.47,20.4993,3525,0
QBY.US,D,20251224,000000,20.67,20.67,20.1468,20.1468,9277,0
QBY.US,D,20251226,000000,19.52,19.52,19.41,19.435,4505,0
QBY.US,D,20251229,000000,19.5,19.5,19.455,19.455,3027,0
QBY.US,D,20251230,000000,19.71,19.7756,19.467,19.467,3335,0
QBY.US,D,20251231,000000,19.45,19.86,19.45,19.5341,20171,0
QBY.US,D,20260102,000000,19.02,19.79,18.7075,19.7324,8687,0
QBY.US,D,20260105,000000,19.97,20.05,19.885,19.985,13023,0
QBY.US,D,20260106,000000,20,20.13,19.68,20.1208,8790,0
QBY.US,D,20260107,000000,20.14,20.37,19.9,19.9,5594,0
QBY.US,D,20260108,000000,19.84,19.96,19.53,19.6036,14309,0
QBY.US,D,20260109,000000,19.34,19.34,18.6694,18.73,9206,0
