<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RKLZ.US,D,20251118,000000,21.32,21.8,20.4919,20.4919,3976,0
RKLZ.US,D,20251119,000000,19.6489,20.67,19.19,19.631,11156,0
RKLZ.US,D,20251120,000000,17.78,23.4282,17.77,23.4282,35791,0
RKLZ.US,D,20251121,000000,23.07,25.5087,21.77,22.4049,58119,0
RKLZ.US,D,20251124,000000,22.09,23.5477,20.027,20.027,38019,0
RKLZ.US,D,20251125,000000,20.6953,21.66,19.8077,19.9555,15973,0
RKLZ.US,D,20251126,000000,19.62,21,19.2,20.5806,21926,0
RKLZ.US,D,20251128,000000,19.89,20.5623,19.88,20.3606,4264,0
RKLZ.US,D,20251201,000000,21.4539,22.27,21.2303,22.0528,10109,0
RKLZ.US,D,20251202,000000,21.21,21.21,19.37,20.4139,13663,0
RKLZ.US,D,20251203,000000,20.37,20.37,17.6743,17.6743,15630,0
RKLZ.US,D,20251204,000000,17.04,17.04,13.78,13.9896,49335,0
RKLZ.US,D,20251205,000000,14.51,14.79,13.89,14.1071,31420,0
RKLZ.US,D,20251208,000000,13.55,14.04,12.37,12.7749,76156,0
RKLZ.US,D,20251209,000000,12.92,13.25,11.6995,11.82,122882,0
RKLZ.US,D,20251210,000000,11.8,12.3115,9.43,9.9784,284435,0
RKLZ.US,D,20251211,000000,10.16,10.16,7.7383,7.92,859658,0
RKLZ.US,D,20251212,000000,8.17,8.8,7.5004,8.3991,1498256,0
RKLZ.US,D,20251215,000000,7.99,10.15,7.585,10.06,1163404,0
RKLZ.US,D,20251216,000000,10.59,11.07,9.5901,10.0481,1412729,0
RKLZ.US,D,20251217,000000,9.7,10.87,9.63,10.59,947619,0
RKLZ.US,D,20251218,000000,9.75,9.77,8.13,8.28,2048659,0
RKLZ.US,D,20251219,000000,7.94,7.97,5.34,5.34,6024508,0
RKLZ.US,D,20251222,000000,4.99,4.99,4.13,4.26,9734460,0
RKLZ.US,D,20251223,000000,4.67,4.73,4.09,4.305,17552088,0
RKLZ.US,D,20251224,000000,4.2,4.555,4.02,4.29,6849519,0
RKLZ.US,D,20251226,000000,4.37,5.045,4.3367,5.03,9990826,0
RKLZ.US,D,20251229,000000,5.2,5.2,4.723,5.1,9050024,0
RKLZ.US,D,20251230,000000,4.66,5.05,4.445,5.04,10022610,0
RKLZ.US,D,20251231,000000,4.88,5.23,4.66,5.14,5727204,0
RKLZ.US,D,20260102,000000,4.995,5.55,4.21,4.24,11974740,0
RKLZ.US,D,20260105,000000,4.35,4.725,3.9734,3.99,8462576,0
RKLZ.US,D,20260106,000000,4.02,4.38,3.155,3.18,17081770,0
RKLZ.US,D,20260107,000000,3.31,3.476,3.18,3.32,11035786,0
RKLZ.US,D,20260108,000000,3.22,3.4596,2.86,3.39,17660300,0
RKLZ.US,D,20260109,000000,3.29,3.44,2.96,3.24,18498708,0
