<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SATG.US,D,20251217,000000,14.89,14.97,13.98,14.126,25943,0
SATG.US,D,20251218,000000,14.66,15.54,14.5846,14.5846,11813,0
SATG.US,D,20251219,000000,16.9,16.91,14.9,14.9226,20581,0
SATG.US,D,20251222,000000,15.65,16.3888,15.35,16.3888,25513,0
SATG.US,D,20251223,000000,16.12,16.12,15.26,15.711,16267,0
SATG.US,D,20251224,000000,15.7,15.8,15.64,15.7651,6886,0
SATG.US,D,20251226,000000,15.96,15.96,15.25,15.357,5110,0
SATG.US,D,20251229,000000,14.89,16.33,14.83,16.2783,8587,0
SATG.US,D,20251230,000000,15.74,16.64,15.74,16.3679,6545,0
SATG.US,D,20251231,000000,16.95,16.95,16.2241,16.2241,10725,0
SATG.US,D,20260102,000000,16.58,17.25,16.49,17.2427,13386,0
SATG.US,D,20260105,000000,17.57,17.57,16.5472,16.88,11552,0
SATG.US,D,20260106,000000,16.1,18.94,15.94,18.5589,23609,0
SATG.US,D,20260107,000000,18.019,18.23,16.82,17.1372,24553,0
SATG.US,D,20260108,000000,18.1051,19.2663,18.0612,18.5722,17947,0
SATG.US,D,20260109,000000,19.3299,19.58,19,19.29,15396,0
