<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCPQU.US,D,20251223,000000,10.01,10.015,10,10,2716691,0
SCPQU.US,D,20251224,000000,10.01,10.04,10.01,10.02,133964,0
SCPQU.US,D,20251226,000000,10.1,10.15,10.05,10.05,106102,0
SCPQU.US,D,20251230,000000,10.0612,10.0612,10,10.01,2437,0
SCPQU.US,D,20251231,000000,10.06,10.06,9.99,10,72428,0
SCPQU.US,D,20260102,000000,10,10,9.995,9.995,4872,0
SCPQU.US,D,20260105,000000,10.01,10.02,9.99,9.995,3073,0
SCPQU.US,D,20260106,000000,10,10,10,10,16976,0
SCPQU.US,D,20260107,000000,10.0602,10.0602,10,10.01,4429,0
SCPQU.US,D,20260108,000000,9.99,10,9.99,9.995,129426,0
SCPQU.US,D,20260109,000000,9.99,10.01,9.99,10.01,3647,0
