<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNAG.US,D,20251219,000000,14.85,15.215,14.85,15.215,1576,0
SNAG.US,D,20251222,000000,16.25,16.7567,16.25,16.7567,502,0
SNAG.US,D,20251223,000000,16.26,16.26,15.92,16.1585,6386,0
SNAG.US,D,20251224,000000,16.08,16.4283,16.08,16.4283,444,0
SNAG.US,D,20251226,000000,16.23,16.3243,16.23,16.3243,557,0
SNAG.US,D,20251229,000000,16.41,16.43,16.35,16.4167,502,0
SNAG.US,D,20251230,000000,16.51,17.26,16.51,17.1948,248,0
SNAG.US,D,20251231,000000,17.8,17.8,17.1953,17.1953,2100,0
SNAG.US,D,20260102,000000,17.3,17.7,16.8484,17.397,3071,0
SNAG.US,D,20260105,000000,17.99,18.3,17.99,18.0253,2235,0
SNAG.US,D,20260106,000000,18.27,20.2851,18.27,20.2851,2006,0
SNAG.US,D,20260107,000000,20.8,20.8,19.3434,19.3434,2896,0
SNAG.US,D,20260108,000000,19.152,19.152,18.41,18.4679,1090,0
SNAG.US,D,20260109,000000,18.94,19.05,17.56,17.73,3514,0
