<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SVAQU.US,D,20251223,000000,9.98,9.98,9.94,9.94,8769543,0
SVAQU.US,D,20251224,000000,9.95,9.95,9.94,9.94,296806,0
SVAQU.US,D,20251226,000000,9.94,9.965,9.94,9.94,425510,0
SVAQU.US,D,20251229,000000,9.95,9.955,9.94,9.94,1064906,0
SVAQU.US,D,20251230,000000,9.95,9.95,9.94,9.95,19752,0
SVAQU.US,D,20251231,000000,9.95,9.95,9.935,9.945,79638,0
SVAQU.US,D,20260102,000000,9.94,9.9647,9.94,9.96,412369,0
SVAQU.US,D,20260105,000000,9.96,10,9.96,9.99,170130,0
SVAQU.US,D,20260106,000000,9.96,9.975,9.96,9.97,152983,0
SVAQU.US,D,20260107,000000,9.961,9.97,9.96,9.97,37849,0
SVAQU.US,D,20260108,000000,9.97,9.975,9.97,9.975,13445,0
SVAQU.US,D,20260109,000000,9.97,9.97,9.95,9.96,105544,0
