<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VALG.US,D,20251219,000000,15.1,15.1,14.8453,14.8453,2005,0
VALG.US,D,20251222,000000,15.88,15.88,15.71,15.7579,641,0
VALG.US,D,20251223,000000,15.84,15.9602,15.83,15.9602,1778,0
VALG.US,D,20251224,000000,15.75,15.8,15.75,15.8,443,0
VALG.US,D,20251226,000000,16.05,16.05,15.9651,15.9651,106,0
VALG.US,D,20251230,000000,15.71,15.71,15.6366,15.6366,409,0
VALG.US,D,20251231,000000,15.445,15.4697,15.445,15.4697,145,0
VALG.US,D,20260102,000000,15.846,15.9722,15.846,15.9722,200,0
VALG.US,D,20260106,000000,17.935,18.205,17.935,18.1652,874,0
VALG.US,D,20260108,000000,17.6,17.9486,17.6,17.9486,282,0
