<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VSNT.US,D,20251215,000000,55,59,42.3,45.65,4650,0
VSNT.US,D,20251216,000000,46.01,51.01,46,47.45,105741,0
VSNT.US,D,20251217,000000,47.97,48.06,47.015,47.26,41797,0
VSNT.US,D,20251218,000000,47.66,47.66,47,47,31287,0
VSNT.US,D,20251219,000000,46.99,47,46.555,47,12011,0
VSNT.US,D,20251222,000000,47,47,46.85,47,1381,0
VSNT.US,D,20251223,000000,45.7,46.74,45.45,45.75,3398,0
VSNT.US,D,20251224,000000,45.99,46.44,45.99,46.44,966,0
VSNT.US,D,20251226,000000,47,48.09,46.75,47,7272,0
VSNT.US,D,20251229,000000,47,47,46.5111,46.5111,8732,0
VSNT.US,D,20251230,000000,46,47,46,46.9285,7950,0
VSNT.US,D,20251231,000000,46.01,46.01,45,45,25286,0
VSNT.US,D,20260102,000000,47,47.63,45.91,46.65,206632,0
VSNT.US,D,20260105,000000,45.17,45.65,39.28,40.57,41362700,0
VSNT.US,D,20260106,000000,40.41,40.5,35.93,36.26,14571700,0
VSNT.US,D,20260107,000000,35.46,35.84,33,33.27,16965960,0
VSNT.US,D,20260108,000000,33.25,35,31.92,33.69,18611565,0
VSNT.US,D,20260109,000000,33.9,35.16,33.34,34.41,7664160,0
