<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WHLR.US,D,20121119,000000,222570600,222570600,195854400,213656800,0.000103872,0
WHLR.US,D,20121120,000000,222219200,240381400,217226800,217593600,0.00092674,0
WHLR.US,D,20121121,000000,220774400,220774400,217067200,217945000,0.000060047,0
WHLR.US,D,20121123,000000,218999200,218999200,213656800,213656800,0.000116562,0
WHLR.US,D,20121126,000000,213312400,213656800,202979000,211540000,0.000594715,0
WHLR.US,D,20121127,000000,213312400,213656800,208146400,208329800,0.000276426,0
WHLR.US,D,20121128,000000,213656800,213656800,207281200,213656800,0.000107012,0
WHLR.US,D,20121129,000000,213022600,213656800,206571400,212930200,0.000245683,0
WHLR.US,D,20121130,000000,206571400,213656800,206571400,213656800,0.000183804,0
WHLR.US,D,20121203,000000,214016600,214016600,206571400,211173200,0.0001760855,0
WHLR.US,D,20121204,000000,220774400,220774400,206571400,213656800,0.000598245,0
WHLR.US,D,20121205,000000,222570600,222570600,206571400,208672800,0.0001843275,0
WHLR.US,D,20121206,000000,213656800,214016600,206571400,206571400,0.00050536,0
WHLR.US,D,20121207,000000,212556400,212556400,212556400,212556400,0.0000054945,0
WHLR.US,D,20121210,000000,213312400,213656800,208329800,210446600,0.000400314,0
WHLR.US,D,20121211,000000,213312400,214375000,211540000,211540000,0.000133307,0
WHLR.US,D,20121212,000000,211173200,211173200,206892000,208329800,0.000172946,0
WHLR.US,D,20121213,000000,208672800,208672800,206571400,207229400,0.001100995,0
WHLR.US,D,20121214,000000,207961600,207961600,206571400,207634000,0.000504315,0
WHLR.US,D,20121217,000000,206892000,211173200,206571400,206571400,0.0002972265,0
WHLR.US,D,20121218,000000,207634000,218297800,206571400,206571400,0.00032169,0
WHLR.US,D,20121219,000000,208672800,221132800,206571400,211891400,0.000262428,0
WHLR.US,D,20121220,000000,206571400,212244200,206571400,210102200,0.000433412,0
WHLR.US,D,20121221,000000,210102200,213656800,206571400,206571400,0.000379775,0
WHLR.US,D,20121224,000000,206892000,206892000,206892000,206892000,0.00001125065,0
WHLR.US,D,20121227,000000,208420800,228548600,208420800,212028600,0.0003264,0
WHLR.US,D,20121228,000000,245816200,245816200,208420800,212395400,0.000276295,0
WHLR.US,D,20121231,000000,208420800,238049000,208420800,221370800,0.0004335425,0
WHLR.US,D,20130102,000000,223533800,228187400,210599200,221370800,0.0006388,0
WHLR.US,D,20130103,000000,218145200,218145200,212748200,215614000,0.0000333595,0
WHLR.US,D,20130104,000000,218855000,219221800,214904200,214904200,0.000685895,0
WHLR.US,D,20130107,000000,214543000,216685000,210950600,216685000,0.000158294,0
WHLR.US,D,20130108,000000,216325200,218481200,215614000,215614000,0.0001484825,0
WHLR.US,D,20130109,000000,216325200,224596400,210599200,215660200,0.000338697,0
WHLR.US,D,20130110,000000,215980800,215980800,213987200,214904200,0.0002663525,0
WHLR.US,D,20130111,000000,217074200,217425600,217074200,217425600,0.0000054945,0
WHLR.US,D,20130114,000000,218488200,218488200,216332200,216332200,0.0000567765,0
WHLR.US,D,20130115,000000,224092400,224092400,215980800,215980800,0.000098901,0
WHLR.US,D,20130116,000000,217425600,222464200,215980800,222464200,0.0000890895,0
WHLR.US,D,20130117,000000,223174000,223174000,216325200,216325200,0.0001058345,0
WHLR.US,D,20130118,000000,222798800,222798800,217425600,217425600,0.0000357143,0
WHLR.US,D,20130122,000000,218855000,218855000,216692000,216692000,0.0001667975,0
WHLR.US,D,20130123,000000,218488200,222798800,217785400,218145200,0.0002893775,0
WHLR.US,D,20130124,000000,216692000,220644200,216692000,217074200,0.0000363684,0
WHLR.US,D,20130125,000000,218488200,222080600,216692000,217425600,0.000207352,0
WHLR.US,D,20130128,000000,221736200,221736200,217425600,217425600,0.000228545,0
WHLR.US,D,20130129,000000,218855000,221011000,216325200,217785400,0.0004175825,0
WHLR.US,D,20130130,000000,220858400,221568200,219398200,219765000,0.000324699,0
WHLR.US,D,20130131,000000,221951800,221951800,217953400,217953400,0.000076792,0
WHLR.US,D,20130201,000000,219413600,221568200,216875400,218687000,0.00040921,0
WHLR.US,D,20130204,000000,221568200,222279400,218106000,220490200,0.0002239665,0
WHLR.US,D,20130205,000000,220490200,220490200,219413600,219413600,0.0001624805,0
WHLR.US,D,20130206,000000,218327200,221568200,217242200,217242200,0.0004000525,0
WHLR.US,D,20130207,000000,217609000,217609000,217609000,217609000,0.0000085034,0
WHLR.US,D,20130208,000000,220490200,220490200,217609000,217609000,0.000439037,0
WHLR.US,D,20130211,000000,218327200,220490200,218327200,218327200,0.000443747,0
WHLR.US,D,20130212,000000,220108000,220490200,218327200,219023000,0.0002365255,0
WHLR.US,D,20130213,000000,217953400,219023000,217953400,218687000,0.000087912,0
WHLR.US,D,20130214,000000,219413600,220108000,218687000,218687000,0.0000809785,0
WHLR.US,D,20130215,000000,219413600,220490200,218687000,220490200,0.000098247,0
WHLR.US,D,20130219,000000,220108000,220490200,219765000,220490200,0.0001872055,0
WHLR.US,D,20130220,000000,220490200,220490200,219765000,219772000,0.0002407115,0
WHLR.US,D,20130221,000000,219023000,220108000,217609000,217609000,0.00039168,0
WHLR.US,D,20130222,000000,220490200,220490200,216875400,217609000,0.000623755,0
WHLR.US,D,20130225,000000,218687000,218687000,216150200,216150200,0.000730635,0
WHLR.US,D,20130226,000000,217609000,218680000,216875400,216875400,0.00006371,0
WHLR.US,D,20130227,000000,218503600,223197800,218503600,218503600,0.000573125,0
WHLR.US,D,20130228,000000,221422600,221422600,218159200,218159200,0.000951855,0
WHLR.US,D,20130301,000000,218503600,219948400,218159200,218159200,0.0002708005,0
WHLR.US,D,20130304,000000,218159200,219581600,218159200,218503600,0.000156855,0
WHLR.US,D,20130305,000000,219245600,220704400,218503600,218503600,0.000114076,0
WHLR.US,D,20130306,000000,218503600,221048800,218503600,219963800,0.0002187335,0
WHLR.US,D,20130307,000000,218503600,219963800,218503600,219963800,0.0001807955,0
WHLR.US,D,20130308,000000,218885800,218885800,218877400,218885800,0.000010989,0
WHLR.US,D,20130311,000000,218503600,220315200,218503600,218877400,0.000228022,0
WHLR.US,D,20130312,000000,221422600,221422600,218503600,220704400,0.000354788,0
WHLR.US,D,20130313,000000,220315200,221048800,218503600,218877400,0.0002861065,0
WHLR.US,D,20130314,000000,219581600,220704400,218877400,218877400,0.000054945,0
WHLR.US,D,20130315,000000,218877400,221048800,218159200,218159200,0.0003023285,0
WHLR.US,D,20130318,000000,218159200,219963800,218159200,218503600,0.0001718995,0
WHLR.US,D,20130319,000000,221751600,221751600,218159200,218503600,0.000327577,0
WHLR.US,D,20130320,000000,218159200,221048800,218159200,221048800,0.00070709,0
WHLR.US,D,20130321,000000,220697400,221048800,218503600,218617000,0.000192569,0
WHLR.US,D,20130322,000000,221040400,221040400,218159200,218159200,0.0004309265,0
WHLR.US,D,20130325,000000,220315200,220704400,218159200,218503600,0.000464809,0
WHLR.US,D,20130326,000000,221599000,221599000,219427600,219427600,0.0004587915,0
WHLR.US,D,20130327,000000,219427600,221988200,219427600,221599000,0.00003558345,0
WHLR.US,D,20130328,000000,219427600,219780400,219427600,219427600,0.000352695,0
WHLR.US,D,20130401,000000,221988200,221988200,220061800,220061800,0.0000189691,0
WHLR.US,D,20130402,000000,221599000,223097000,219427600,219427600,0.000349686,0
WHLR.US,D,20130403,000000,219427600,221988200,219427600,219780400,0.0000669805,0
WHLR.US,D,20130404,000000,220147200,220147200,220147200,220147200,0.0000189691,0
WHLR.US,D,20130405,000000,221263000,222707800,221263000,221263000,0.000295264,0
WHLR.US,D,20130408,000000,219780400,222707800,219780400,221988200,0.000090005,0
WHLR.US,D,20130409,000000,222707800,222707800,219780400,220521000,0.0000918365,0
WHLR.US,D,20130410,000000,220521000,220896200,219780400,219780400,0.000110413,0
WHLR.US,D,20130411,000000,221263000,221263000,219780400,219780400,0.00001360545,0
WHLR.US,D,20130412,000000,221055800,222707800,219780400,221958800,0.0004836475,0
WHLR.US,D,20130415,000000,220521000,220521000,216524000,219427600,0.00068498,0
WHLR.US,D,20130416,000000,220147200,220154200,220147200,220147200,0.0000273417,0
WHLR.US,D,20130417,000000,220154200,220521000,219427600,220138800,0.000371795,0
WHLR.US,D,20130418,000000,219427600,219780400,219427600,219780400,0.000107012,0
WHLR.US,D,20130419,000000,221422600,222341000,220521000,220812200,0.0000685505,0
WHLR.US,D,20130422,000000,222341000,222341000,219427600,220147200,0.0001344845,0
WHLR.US,D,20130423,000000,220147200,222341000,220147200,221958800,0.000168498,0
WHLR.US,D,20130424,000000,221988200,222341000,219427600,219674000,0.000062925,0
WHLR.US,D,20130425,000000,222341000,222341000,219427600,219427600,0.0002377025,0
WHLR.US,D,20130426,000000,221071200,221071200,220728200,220728200,0.0001628725,0
WHLR.US,D,20130429,000000,223349000,223349000,220728200,221071200,0.000114076,0
WHLR.US,D,20130430,000000,221071200,221071200,221071200,221071200,0.0000406855,0
WHLR.US,D,20130503,000000,221071200,221071200,221071200,221071200,0.0002715855,0
WHLR.US,D,20130506,000000,223288800,223655600,221454800,222341000,0.00052734,0
WHLR.US,D,20130507,000000,220728200,223655600,220728200,222929000,0.0001360545,0
WHLR.US,D,20130508,000000,221454800,222929000,220728200,222929000,0.000193616,0
WHLR.US,D,20130509,000000,221454800,222562200,220728200,221454800,0.000374542,0
WHLR.US,D,20130510,000000,221071200,222929000,220728200,222929000,0.0002496075,0
WHLR.US,D,20130513,000000,223281800,223288800,223281800,223288800,0.0000163527,0
WHLR.US,D,20130514,000000,223288800,223288800,220728200,221454800,0.0001579015,0
WHLR.US,D,20130515,000000,221071200,223288800,221071200,222929000,0.0002927785,0
WHLR.US,D,20130516,000000,221454800,223288800,221454800,222562200,0.000197148,0
WHLR.US,D,20130517,000000,223288800,223288800,221461800,221813200,0.0003411825,0
WHLR.US,D,20130520,000000,222929000,223655600,221859400,223288800,0.0002502615,0
WHLR.US,D,20130521,000000,225131200,225131200,224029400,224390600,0.0001674515,0
WHLR.US,D,20130522,000000,225131200,225131200,222929000,223288800,0.000086342,0
WHLR.US,D,20130523,000000,222562200,222929000,222562200,222875800,0.0000134746,0
WHLR.US,D,20130524,000000,222562200,229541200,221071200,223984600,0.000661825,0
WHLR.US,D,20130528,000000,221071200,226591400,221071200,223151600,0.00058281,0
WHLR.US,D,20130529,000000,224214200,224954800,222005000,222371800,0.0003032445,0
WHLR.US,D,20130530,000000,224579600,224579600,222371800,222371800,0.000070382,0
WHLR.US,D,20130531,000000,223869800,225024800,221972800,221972800,0.0001248035,0
WHLR.US,D,20130603,000000,223112400,223112400,220138800,220138800,0.00025955,0
WHLR.US,D,20130604,000000,222723200,224579600,216073200,222005000,0.00068171,0
WHLR.US,D,20130605,000000,222371800,223487600,222005000,222371800,0.000065018,0
WHLR.US,D,20130606,000000,225314600,225314600,224579600,224579600,0.00004395605,0
WHLR.US,D,20130607,000000,226805600,232713600,224954800,232713600,0.0000338828,0
WHLR.US,D,20130610,000000,231246400,231246400,223846000,227179400,0.0000163527,0
WHLR.US,D,20130611,000000,227553200,229404000,223112400,223112400,0.0002145475,0
WHLR.US,D,20130612,000000,223846000,224214200,223846000,224214200,0.0001081895,0
WHLR.US,D,20130613,000000,225696800,240136400,224214200,228639600,0.00004395605,0
WHLR.US,D,20130614,000000,233095800,234761800,223112400,223112400,0.0000896125,0
WHLR.US,D,20130619,000000,223487600,223487600,223487600,223487600,0.000003008895,0
WHLR.US,D,20130620,000000,223840400,228471600,222005000,222118400,0.0002534015,0
WHLR.US,D,20130621,000000,222005000,236794600,222005000,224214200,0.0003318945,0
WHLR.US,D,20130624,000000,222371800,223112400,222005000,223112400,0.000105311,0
WHLR.US,D,20130625,000000,222371800,222723200,216815200,216815200,0.00051465,0
WHLR.US,D,20130626,000000,225559600,225559600,212534000,212534000,0.000174254,0
WHLR.US,D,20130627,000000,222586000,222586000,189096600,208811400,0.0003479855,0
WHLR.US,D,20130628,000000,215125400,215889800,202848800,203207200,0.0003271845,0
WHLR.US,D,20130701,000000,206189200,212151800,202848800,202848800,0.0002465985,0
WHLR.US,D,20130702,000000,210669200,211057000,200624200,200999400,0.000196494,0
WHLR.US,D,20130703,000000,208420800,208811400,202848800,202848800,0.0000808475,0
WHLR.US,D,20130705,000000,207687200,209169800,171966200,186995200,0.0002467295,0
WHLR.US,D,20130708,000000,204713600,204713600,191543800,191696400,0.000190607,0
WHLR.US,D,20130709,000000,191696400,192430000,186116000,187607000,0.0002702775,0
WHLR.US,D,20130710,000000,183869000,191696400,182606200,191696400,0.0001754315,0
WHLR.US,D,20130711,000000,191291800,207312000,186116000,207312000,0.000454474,0
WHLR.US,D,20130712,000000,200624200,207312000,193072600,200999400,0.000155939,0
WHLR.US,D,20130715,000000,204713600,210294000,195777400,196726600,0.0001386705,0
WHLR.US,D,20130716,000000,192812200,207687200,187255600,193552800,0.0002569335,0
WHLR.US,D,20130717,000000,194303200,208077800,194226200,194226200,0.0002208265,0
WHLR.US,D,20130718,000000,189096600,199126200,188692000,190205400,0.000236002,0
WHLR.US,D,20130719,000000,196534800,199866800,192430000,193904200,0.0003250915,0
WHLR.US,D,20130722,000000,192812200,199110800,192812200,193552800,0.000112899,0
WHLR.US,D,20130723,000000,196534800,196534800,190947400,190947400,0.000220434,0
WHLR.US,D,20130724,000000,191696400,194661600,191291800,194661600,0.0000807165,0
WHLR.US,D,20130725,000000,194661600,194661600,193552800,193552800,0.0000164835,0
WHLR.US,D,20130726,000000,195036800,199133200,195036800,197254400,0.000192831,0
WHLR.US,D,20130729,000000,198591400,200456200,198591400,198591400,0.000107535,0
WHLR.US,D,20130730,000000,196327600,199011400,196327600,196709800,0.0000601775,0
WHLR.US,D,20130731,000000,195594000,199332000,194836600,194836600,0.000079147,0
WHLR.US,D,20130801,000000,204194200,204568000,196709800,196709800,0.00017203,0
WHLR.US,D,20130805,000000,196327600,199325000,191459800,196709800,0.000144165,0
WHLR.US,D,20130806,000000,196144200,199585400,194469800,194469800,0.0001195705,0
WHLR.US,D,20130807,000000,191098600,196327600,189173600,190733200,0.0003647305,0
WHLR.US,D,20130808,000000,190733200,191098600,188470800,188470800,0.000396651,0
WHLR.US,D,20130809,000000,191098600,195204800,186405800,189593600,0.000298927,0
WHLR.US,D,20130812,000000,190351000,190351000,188470800,190327200,0.0000206698,0
WHLR.US,D,20130813,000000,190351000,191459800,187338200,189204400,0.000200157,0
WHLR.US,D,20130814,000000,184059400,187338200,184059400,187338200,0.0000490581,0
WHLR.US,D,20130815,000000,183601600,187338200,181346200,181346200,0.0002503925,0
WHLR.US,D,20130816,000000,182858200,187338200,181720000,185113600,0.000495552,0
WHLR.US,D,20130819,000000,186214000,187338200,180222000,183953000,0.00030573,0
WHLR.US,D,20130820,000000,187338200,187338200,174979000,176094800,0.00119793,0
WHLR.US,D,20130821,000000,161113400,171600800,155533000,168985600,0.004796575,0
WHLR.US,D,20130822,000000,165981200,167120800,161113400,162992200,0.00232156,0
WHLR.US,D,20130823,000000,162625400,168611800,161487200,164773000,0.00076007,0
WHLR.US,D,20130826,000000,168245000,170109800,163374400,165981200,0.00171873,0
