<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WLTH.US,D,20251212,000000,14,14.88,13.75,14.19,13900410,0
WLTH.US,D,20251215,000000,14.545,14.75,13.35,13.95,4295998,0
WLTH.US,D,20251216,000000,13.59,13.7561,12.76,12.85,3326565,0
WLTH.US,D,20251217,000000,12.8,12.8699,11.95,12.6,3924203,0
WLTH.US,D,20251218,000000,12.59,13.17,12.51,13.14,1131471,0
WLTH.US,D,20251219,000000,13.39,13.42,12.65,12.95,1701290,0
WLTH.US,D,20251222,000000,13.04,13.33,12.54,12.72,900903,0
WLTH.US,D,20251223,000000,12.84,13.29,12.3935,13.19,1061481,0
WLTH.US,D,20251224,000000,13.25,13.29,12.84,13.18,474282,0
WLTH.US,D,20251226,000000,13.09,13.4575,13.05,13.27,448630,0
WLTH.US,D,20251229,000000,13.16,13.48,13.08,13.35,657681,0
WLTH.US,D,20251230,000000,13.27,14.1199,13.21,13.58,1374636,0
WLTH.US,D,20251231,000000,13.5,13.94,13.2,13.59,987828,0
WLTH.US,D,20260102,000000,13.64,13.78,13.05,13.22,1045200,0
WLTH.US,D,20260105,000000,13.355,13.845,13.137,13.65,1282645,0
WLTH.US,D,20260106,000000,13.47,13.7,13.2,13.61,2472086,0
WLTH.US,D,20260107,000000,13.6,14,13.45,13.5,2117903,0
WLTH.US,D,20260108,000000,13.5,13.6506,12.83,12.94,1518107,0
WLTH.US,D,20260109,000000,13,13.2999,12.635,12.83,1144889,0
