<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANDG.US,D,20251217,000000,21.24,24.48,20,23.5,7670220,0
ANDG.US,D,20251218,000000,22.56,26.99,22.08,25.4,1022488,0
ANDG.US,D,20251219,000000,27.17,27.51,23.25,24.42,330708,0
ANDG.US,D,20251222,000000,24.95,26.62,24.1158,26.41,251199,0
ANDG.US,D,20251223,000000,26.4,26.57,24.54,24.59,247949,0
ANDG.US,D,20251224,000000,24.5,25.65,24.5,25.46,51004,0
ANDG.US,D,20251226,000000,25.43,25.7,24,25.36,326363,0
ANDG.US,D,20251229,000000,25,25.78,24.076,24.69,525817,0
ANDG.US,D,20251230,000000,24.17,26.19,24.17,25.64,562375,0
ANDG.US,D,20251231,000000,25.32,26.8459,25.02,25.93,607274,0
ANDG.US,D,20260102,000000,25.51,26.25,24.14,24.38,760601,0
ANDG.US,D,20260105,000000,24.685,24.685,23.3,24.02,642293,0
ANDG.US,D,20260106,000000,23.69,24.44,23.39,23.98,639476,0
ANDG.US,D,20260107,000000,23.7126,23.96,23,23.52,452606,0
ANDG.US,D,20260108,000000,23.69,24.34,23.03,24.25,413131,0
ANDG.US,D,20260109,000000,24.05,24.52,23.31,24.29,297803,0
