<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AOTS.US,D,20251223,000000,25.22,25.27,25.08,25.22,48631,0
AOTS.US,D,20251224,000000,25.28,25.32,25.07,25.13,12865,0
AOTS.US,D,20251226,000000,25.39,25.44,25.32,25.3474,13745,0
AOTS.US,D,20251229,000000,25.26,25.32,25.17,25.2312,4541,0
AOTS.US,D,20251230,000000,25.1993,25.31,25.17,25.21,12278,0
AOTS.US,D,20251231,000000,25.17,25.25,25,25.01,27143,0
AOTS.US,D,20260102,000000,25.13,25.16,24.598,24.6385,15693,0
AOTS.US,D,20260105,000000,24.85,25.1899,24.85,24.94,11082,0
AOTS.US,D,20260106,000000,24.9,25.1,24.9,25.0699,4236,0
AOTS.US,D,20260107,000000,25.09,25.25,25.06,25.11,8421,0
AOTS.US,D,20260108,000000,24.93,25.01,24.91,24.9816,3955,0
AOTS.US,D,20260109,000000,24.95,25.04,24.88,25.04,3693,0
