<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AUAU.US,D,20251211,000000,35.4475,36.87,35.33,36.61,17196,0
AUAU.US,D,20251212,000000,37.04,37.36,35.93,36.1771,9004,0
AUAU.US,D,20251215,000000,36.73,37,35.76,36.062,19298,0
AUAU.US,D,20251216,000000,36.1,36.1,35.54,35.8601,8608,0
AUAU.US,D,20251217,000000,36.3082,36.3082,35.93,36.1956,8123,0
AUAU.US,D,20251218,000000,36.72,36.89,36.1265,36.2087,4107,0
AUAU.US,D,20251219,000000,37,37.46,36.9975,37.1636,2192,0
AUAU.US,D,20251222,000000,40.96,40.96,38.2517,38.3885,6672,0
AUAU.US,D,20251223,000000,38.4799,38.88,38.02,38.5187,9904,0
AUAU.US,D,20251224,000000,38.08,38.212,38.08,38.212,585,0
AUAU.US,D,20251226,000000,38.4,39.1599,38.315,39.1366,5706,0
AUAU.US,D,20251229,000000,37.1,37.26,36.31,36.74,8888,0
AUAU.US,D,20251230,000000,37.11,37.39,37.11,37.1875,3608,0
AUAU.US,D,20251231,000000,36.93,37.29,36.79,36.7923,3029,0
AUAU.US,D,20260102,000000,37,37.57,36,36.5119,22478,0
AUAU.US,D,20260105,000000,38.5445,38.5445,37.47,37.94,6344,0
AUAU.US,D,20260106,000000,38.6187,39.27,38.4401,39.2678,6798,0
AUAU.US,D,20260107,000000,38.25,38.98,37.75,38.98,3177,0
AUAU.US,D,20260108,000000,38.23,38.9242,37.97,38.9242,1448,0
AUAU.US,D,20260109,000000,39.525,39.675,39.25,39.26,7832,0
