<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HELS.US,D,20251212,000000,25.25,25.43,24.685,24.816,162918,0
HELS.US,D,20251215,000000,25.042,25.28,24.77,24.84,105482,0
HELS.US,D,20251216,000000,24.875,24.91,24.54,24.69,73235,0
HELS.US,D,20251217,000000,24.77,24.78,24.2888,24.32,89475,0
HELS.US,D,20251218,000000,24.592,24.7499,24.51,24.51,21493,0
HELS.US,D,20251219,000000,24.7082,24.85,24.65,24.83,50453,0
HELS.US,D,20251222,000000,24.97,25.1899,24.96,25.1262,95555,0
HELS.US,D,20251223,000000,25.05,25.22,25.01,25.09,42630,0
HELS.US,D,20251224,000000,25.1,25.16,25.05,25.125,7696,0
HELS.US,D,20251226,000000,25.17,25.17,25.0338,25.11,34459,0
HELS.US,D,20251229,000000,25,25.069,24.85,24.9044,38179,0
HELS.US,D,20251230,000000,24.95,25.16,24.78,24.8,24457,0
HELS.US,D,20251231,000000,24.75,24.7899,24.5,24.53,32906,0
HELS.US,D,20260102,000000,24.7,24.94,24.69,24.92,28577,0
HELS.US,D,20260105,000000,25.1115,25.16,24.97,25.011,29348,0
HELS.US,D,20260106,000000,25.18,25.39,25.06,25.347,19121,0
HELS.US,D,20260107,000000,25.2521,25.51,25.14,25.17,89645,0
HELS.US,D,20260108,000000,25.2,25.2,25.03,25.14,266547,0
HELS.US,D,20260109,000000,25.38,25.47,25.2146,25.39,106606,0
