<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OAKG.US,D,20251212,000000,25.74,25.75,25.63,25.6445,3542,0
OAKG.US,D,20251215,000000,25.615,25.64,25.585,25.64,912,0
OAKG.US,D,20251216,000000,25.52,25.52,25.4699,25.48,4978,0
OAKG.US,D,20251217,000000,25.44,25.44,25.372,25.372,1425,0
OAKG.US,D,20251219,000000,25.62,25.685,25.555,25.59,23823,0
OAKG.US,D,20251222,000000,25.63,25.7096,25.63,25.6773,1748,0
OAKG.US,D,20251223,000000,25.68,25.7,25.642,25.695,6220,0
OAKG.US,D,20251224,000000,25.75,25.75,25.7439,25.7439,102,0
OAKG.US,D,20251226,000000,25.7898,25.8168,25.7898,25.8168,3877,0
OAKG.US,D,20251229,000000,25.79,25.82,25.7699,25.7902,4227,0
OAKG.US,D,20251230,000000,25.86,25.86,25.86,25.86,405,0
OAKG.US,D,20251231,000000,25.78,25.78,25.75,25.75,13573,0
OAKG.US,D,20260102,000000,25.78,25.8352,25.76,25.8059,1226,0
OAKG.US,D,20260105,000000,26.08,26.2757,26.08,26.2757,135,0
OAKG.US,D,20260106,000000,26.41,26.41,26.3993,26.3993,139,0
OAKG.US,D,20260107,000000,26.36,26.36,26.23,26.2315,5156,0
OAKG.US,D,20260108,000000,26.46,26.5186,26.46,26.51,1269,0
OAKG.US,D,20260109,000000,26.69,26.7382,26.69,26.7382,293,0
