<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RESM.US,D,20251212,000000,20.34,20.3582,20.34,20.3582,100,0
RESM.US,D,20251215,000000,20.31,20.31,20.2929,20.2929,101,0
RESM.US,D,20251216,000000,20.13,20.1999,20.13,20.1999,103,0
RESM.US,D,20251218,000000,20.16,20.16,20.1141,20.1141,111,0
RESM.US,D,20251222,000000,20.3,20.3643,20.3,20.3643,100,0
RESM.US,D,20251224,000000,20.29,20.3402,20.29,20.3402,108,0
RESM.US,D,20251226,000000,20.275,20.3066,20.27,20.3066,246,0
RESM.US,D,20251231,000000,19.95,20,19.8976,19.8976,601,0
RESM.US,D,20260102,000000,19.88,19.997,19.88,19.997,101,0
RESM.US,D,20260105,000000,20.26,20.26,20.2353,20.2353,100,0
RESM.US,D,20260106,000000,20.45,20.4857,20.45,20.4857,100,0
RESM.US,D,20260107,000000,20.43,20.43,20.4157,20.4157,100,0
RESM.US,D,20260108,000000,20.55,20.5756,20.55,20.5756,200,0
RESM.US,D,20260109,000000,20.67,20.67,20.67,20.67,100,0
