<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RONB.US,D,20251217,000000,25.23,25.4243,25.05,25.07,3127017,0
RONB.US,D,20251218,000000,25.295,25.34,25.01,25.0849,195384,0
RONB.US,D,20251219,000000,25.1244,25.41,25.1244,25.351,83209,0
RONB.US,D,20251222,000000,25.54,25.68,25.46,25.5521,44766,0
RONB.US,D,20251223,000000,25.62,25.65,25.4,25.48,45257,0
RONB.US,D,20251224,000000,25.45,25.55,25.37,25.4527,5616,0
RONB.US,D,20251226,000000,25.4498,25.53,25.37,25.45,23037,0
RONB.US,D,20251229,000000,25.38,25.42,25.27,25.35,57331,0
RONB.US,D,20251230,000000,25.265,25.287,25.17,25.19,32192,0
RONB.US,D,20251231,000000,25.19,25.1963,25,25.0085,287909,0
RONB.US,D,20260102,000000,25.15,25.15,24.66,24.74,52866,0
RONB.US,D,20260105,000000,24.75,25.366,24.75,25.14,44839,0
RONB.US,D,20260106,000000,25.08,25.32,25.01,25.2693,38538,0
RONB.US,D,20260107,000000,25.246,25.246,25.05,25.07,38803,0
RONB.US,D,20260108,000000,25.0462,25.25,25.0462,25.2039,17477,0
RONB.US,D,20260109,000000,25.25,25.2899,25.15,25.19,30073,0
