<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SFTX.US,D,20251204,000000,25.3158,25.3158,25.3158,25.3158,6,0
SFTX.US,D,20251205,000000,25.2964,25.2964,25.2964,25.2964,18,0
SFTX.US,D,20251208,000000,25.42,25.42,25.3563,25.3563,102,0
SFTX.US,D,20251209,000000,25.39,25.39,25.29,25.3239,14117798,0
SFTX.US,D,20251210,000000,25.3306,25.6287,25.3306,25.6287,21032,0
SFTX.US,D,20251211,000000,25.6293,25.68,25.593,25.6437,12134,0
SFTX.US,D,20251212,000000,25.3723,25.45,25.27,25.366,32746,0
SFTX.US,D,20251215,000000,25.46,25.51,25.39,25.4405,10123,0
SFTX.US,D,20251216,000000,25.26,25.2915,25.1755,25.2915,24604,0
SFTX.US,D,20251217,000000,25.27,25.27,25.0407,25.0456,18303,0
SFTX.US,D,20251218,000000,25.27,25.37,25.195,25.2067,41033,0
SFTX.US,D,20251219,000000,25.5101,26.37,25.48,25.48,16649,0
SFTX.US,D,20251222,000000,25.62,26.405,25.48,25.625,34822,0
SFTX.US,D,20251223,000000,25.7,25.795,25.635,25.7873,25473,0
SFTX.US,D,20251224,000000,25.7,26.5,25.68,25.725,16418,0
SFTX.US,D,20251226,000000,25.78,25.85,25.46,25.8362,15101,0
SFTX.US,D,20251229,000000,25.67,25.675,25.56,25.6673,22927,0
SFTX.US,D,20251230,000000,25.85,25.86,25.76,25.7827,12059,0
SFTX.US,D,20251231,000000,25.665,25.69,25.61,25.6584,25852,0
SFTX.US,D,20260102,000000,26.13,26.2,26.07,26.1899,12670,0
SFTX.US,D,20260105,000000,26.42,26.55,26.42,26.496,14277,0
SFTX.US,D,20260106,000000,26.67,26.7055,26.65,26.7055,20579,0
SFTX.US,D,20260107,000000,26.575,26.5999,26.24,26.415,126054,0
SFTX.US,D,20260108,000000,26.39,26.485,26.39,26.485,22022,0
SFTX.US,D,20260109,000000,26.6,26.71,26.59,26.68,30084,0
