<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SIOO.US,D,20251212,000000,20.03,20.04,19.965,19.965,10940,0
SIOO.US,D,20251215,000000,20.01,20.13,20.0045,20.01,8189,0
SIOO.US,D,20251216,000000,19.96,19.99,19.91,19.97,16259,0
SIOO.US,D,20251217,000000,19.91,19.92,19.91,19.92,3201,0
SIOO.US,D,20251218,000000,19.9,19.94,19.7875,19.85,5380,0
SIOO.US,D,20251219,000000,19.96,20.04,19.96,20.03,3845,0
SIOO.US,D,20251222,000000,20.08,20.1,20.0594,20.075,9760,0
SIOO.US,D,20251223,000000,20.084,20.17,20.084,20.14,7533,0
SIOO.US,D,20251224,000000,20.17,20.21,20.17,20.185,2393,0
SIOO.US,D,20251226,000000,20.23,20.23,20.1635,20.215,15377,0
SIOO.US,D,20251229,000000,19.94,19.95,19.9056,19.94,10965,0
SIOO.US,D,20251230,000000,19.94,19.97,19.937,19.97,4878,0
SIOO.US,D,20251231,000000,19.95,19.99,19.93,19.93,8395,0
SIOO.US,D,20260102,000000,19.9255,19.93,19.82,19.88,14954,0
SIOO.US,D,20260105,000000,19.88,19.94,19.85,19.92,6164,0
SIOO.US,D,20260106,000000,19.93,19.97,19.92,19.96,3816,0
SIOO.US,D,20260107,000000,19.92,20.1,19.92,19.9505,3890,0
SIOO.US,D,20260108,000000,19.946,19.946,19.924,19.924,1034,0
SIOO.US,D,20260109,000000,19.98,20.03,19.935,20.025,8922,0
