<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
STBQ.US,D,20251223,000000,25.565,25.7024,25.558,25.7024,2245,0
STBQ.US,D,20251224,000000,25.61,25.71,25.61,25.6269,1534,0
STBQ.US,D,20251226,000000,25.448,25.58,25.448,25.4917,2190,0
STBQ.US,D,20251229,000000,25.65,25.65,25.3199,25.4209,7275,0
STBQ.US,D,20251230,000000,25.47,25.59,25.2294,25.2294,474,0
STBQ.US,D,20260102,000000,25.481,25.7933,25.481,25.7398,5991,0
STBQ.US,D,20260105,000000,26.56,27.26,26.1,27.24,3564,0
STBQ.US,D,20260106,000000,27.29,27.34,26.985,27.2403,1673,0
STBQ.US,D,20260107,000000,26.95,27.14,26.794,26.794,946,0
STBQ.US,D,20260108,000000,26.81,26.93,26.785,26.9002,812,0
STBQ.US,D,20260109,000000,27.105,27.105,26.76,26.76,5979,0
