<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TACN.US,D,20251212,000000,25.31,25.32,25.3,25.305,3514,0
TACN.US,D,20251215,000000,25.415,25.4246,25.415,25.4246,160,0
TACN.US,D,20251216,000000,25.3597,25.38,25.33,25.345,680,0
TACN.US,D,20251217,000000,25.2501,25.2705,25.22,25.225,2648,0
TACN.US,D,20251218,000000,25.33,25.41,25.2737,25.2737,3250,0
TACN.US,D,20251222,000000,25.41,25.475,25.41,25.475,609,0
TACN.US,D,20251223,000000,25.69,25.69,25.61,25.6524,1778,0
TACN.US,D,20251224,000000,25.7,25.71,25.6627,25.6858,1501,0
TACN.US,D,20251226,000000,25.76,25.77,25.725,25.754,10425,0
TACN.US,D,20251229,000000,25.6399,25.6399,25.6347,25.6347,284,0
TACN.US,D,20251230,000000,25.74,25.87,25.7011,25.7011,6412,0
TACN.US,D,20251231,000000,25.5889,25.71,25.5889,25.5937,4265,0
TACN.US,D,20260102,000000,25.86,25.94,25.805,25.8644,8758,0
TACN.US,D,20260105,000000,26.12,26.1527,26.12,26.1527,786,0
TACN.US,D,20260106,000000,26.18,26.24,26.18,26.2015,758,0
TACN.US,D,20260107,000000,26.17,26.2,26.17,26.195,2459,0
TACN.US,D,20260108,000000,26.06,26.2,26.05,26.1303,9410,0
TACN.US,D,20260109,000000,26.2887,26.36,26.2887,26.36,2655,0
