<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TMLP.US,D,20251223,000000,25.16,25.17,25.14,25.1496,9900,0
TMLP.US,D,20251224,000000,25.1,25.1516,25.1,25.1516,3702,0
TMLP.US,D,20251226,000000,25.13,25.13,25.1278,25.1278,1493,0
TMLP.US,D,20251229,000000,25.15,25.15,25.098,25.098,590,0
TMLP.US,D,20251230,000000,25.1588,25.22,25.1588,25.2104,906,0
TMLP.US,D,20251231,000000,25.07,25.1512,25.07,25.1512,906,0
TMLP.US,D,20260102,000000,25.19,25.41,25.19,25.3074,78535,0
TMLP.US,D,20260105,000000,25.23,25.3,25.13,25.2542,4714,0
TMLP.US,D,20260106,000000,25.13,25.13,24.8815,24.8815,498,0
TMLP.US,D,20260107,000000,24.93,24.93,24.9137,24.9137,287,0
TMLP.US,D,20260108,000000,25.02,25.1926,25.01,25.1926,8422,0
TMLP.US,D,20260109,000000,25.41,25.41,25.2599,25.29,1202,0
