<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TMVE.US,D,20251118,000000,14.31,14.36,14.31,14.3419,1509,0
TMVE.US,D,20251119,000000,14.33,14.3325,14.33,14.3325,278,0
TMVE.US,D,20251120,000000,14.5378,14.5378,14.1757,14.1757,2244,0
TMVE.US,D,20251124,000000,14.56,14.5749,14.5599,14.5749,249,0
TMVE.US,D,20251125,000000,14.68,14.7894,14.68,14.7894,112,0
TMVE.US,D,20251126,000000,14.92,14.95,14.9058,14.9058,2283,0
TMVE.US,D,20251204,000000,15.0832,15.1,15.04,15.0555,2863,0
TMVE.US,D,20251205,000000,15.11,15.11,15.0379,15.0379,202,0
TMVE.US,D,20251208,000000,15.02,15.02,14.955,14.955,1162,0
TMVE.US,D,20251209,000000,15.05,15.05,14.9953,14.9953,4101,0
TMVE.US,D,20251210,000000,15.05,15.2447,15.03,15.2447,5021,0
TMVE.US,D,20251211,000000,15.31,15.38,15.31,15.3638,2713,0
TMVE.US,D,20251212,000000,15.24,15.24,15.21,15.2109,4293,0
TMVE.US,D,20251215,000000,15.25,15.2571,15.21,15.2571,496,0
TMVE.US,D,20251216,000000,15.18,15.2,15.12,15.17,3226,0
TMVE.US,D,20251217,000000,15.25,15.25,15.126,15.126,441,0
TMVE.US,D,20251219,000000,15.22,15.22,15.1993,15.1993,204,0
TMVE.US,D,20251223,000000,15.28,15.28,15.2685,15.2685,1329,0
TMVE.US,D,20251224,000000,15.3113,15.325,15.31,15.325,1793,0
TMVE.US,D,20251226,000000,15.31,15.3123,15.3,15.3123,329,0
TMVE.US,D,20251229,000000,15.26,15.29,15.26,15.2692,514,0
TMVE.US,D,20251230,000000,15.25,15.25,15.2391,15.2391,207,0
TMVE.US,D,20251231,000000,15.17,15.17,15.1177,15.1177,131,0
TMVE.US,D,20260102,000000,15.19,15.33,15.15,15.294,1678,0
TMVE.US,D,20260105,000000,15.35,15.44,15.27,15.4186,1351,0
TMVE.US,D,20260106,000000,15.48,15.5884,15.48,15.5884,313,0
TMVE.US,D,20260107,000000,15.4,15.4,15.3492,15.3492,111,0
TMVE.US,D,20260108,000000,15.39,15.4326,15.39,15.4326,212,0
TMVE.US,D,20260109,000000,15.48,15.56,15.4799,15.55,941,0
