<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TNUK.US,D,20251222,000000,25.66,25.82,25.5596,25.5596,8221,0
TNUK.US,D,20251226,000000,25.53,25.53,25.42,25.46,395,0
TNUK.US,D,20251229,000000,25.39,25.43,25.3635,25.3635,1289,0
TNUK.US,D,20251230,000000,25.25,25.25,25.1141,25.1141,818,0
TNUK.US,D,20251231,000000,25.12,25.12,24.9034,24.9034,737,0
TNUK.US,D,20260102,000000,25.77,26.1353,25.7122,26.1353,3176,0
TNUK.US,D,20260105,000000,26.85,27.0084,26.6499,27.0084,1000,0
TNUK.US,D,20260106,000000,26.97,27.41,26.9699,27.3788,2027,0
TNUK.US,D,20260107,000000,27.37,27.37,27.0126,27.0126,1482,0
TNUK.US,D,20260108,000000,26.765,26.765,26.4426,26.5636,1674,0
