<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WTIB.US,D,20251211,000000,19.03,19.5226,19.01,19.5226,2253,0
WTIB.US,D,20251212,000000,19.1,19.1231,19.1,19.1231,612,0
WTIB.US,D,20251215,000000,18.06,18.19,17.92,17.92,2202,0
WTIB.US,D,20251217,000000,17.69,17.95,17.69,17.9469,3413,0
WTIB.US,D,20251218,000000,17.47,17.4929,17.47,17.4929,525,0
WTIB.US,D,20251219,000000,18.26,18.48,18.26,18.3224,3216,0
WTIB.US,D,20251223,000000,18.76,19.01,18.76,18.9752,2490,0
WTIB.US,D,20251226,000000,18.3,18.4191,18.3,18.4191,622,0
WTIB.US,D,20251229,000000,18.71,18.71,18.44,18.5347,2104,0
WTIB.US,D,20251230,000000,18.91,18.91,18.6994,18.6994,603,0
WTIB.US,D,20251231,000000,18.87,18.87,18.5986,18.5986,13026,0
WTIB.US,D,20260102,000000,18.46,18.736,18.44,18.736,21001,0
WTIB.US,D,20260105,000000,19.793,20.1564,19.79,20.1564,440,0
WTIB.US,D,20260106,000000,19.32,19.3701,19.25,19.3701,1539,0
WTIB.US,D,20260107,000000,18.81,18.81,18.775,18.775,1420,0
WTIB.US,D,20260108,000000,19.25,19.5414,19.25,19.5414,1954,0
WTIB.US,D,20260109,000000,19.54,19.54,19.53,19.53,600,0
