<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XXI.US,D,20251209,000000,10.74,11.94,10.38,11.42,10776354,0
XXI.US,D,20251210,000000,12.3,12.51,11.54,11.96,6040650,0
XXI.US,D,20251211,000000,11.9,12.2,11.39,11.99,2388555,0
XXI.US,D,20251212,000000,12.15,12.35,11.3,11.5,2026785,0
XXI.US,D,20251215,000000,11.542,11.542,10.58,11.12,1535551,0
XXI.US,D,20251216,000000,10.9973,11.0082,10.55,10.55,1798972,0
XXI.US,D,20251217,000000,10.85,11.3599,10.46,10.46,1607446,0
XXI.US,D,20251218,000000,10.71,10.9153,10.02,10.63,1409449,0
XXI.US,D,20251219,000000,10.73,11.44,10.42,11.44,1731477,0
XXI.US,D,20251222,000000,11.45,11.49,10.33,10.48,1986275,0
XXI.US,D,20251223,000000,10.58,10.58,9.38,9.61,2816193,0
XXI.US,D,20251224,000000,9.635,9.64,9.16,9.53,1492245,0
XXI.US,D,20251226,000000,9.5,9.5,9.05,9.4,1005734,0
XXI.US,D,20251229,000000,9.22,9.4,8.96,9.15,1321521,0
XXI.US,D,20251230,000000,9.02,9.2472,8.9,9.05,772888,0
XXI.US,D,20251231,000000,9.01,9.14,8.7,8.76,1213704,0
XXI.US,D,20260102,000000,8.9,9.52,8.66,9.3,957389,0
XXI.US,D,20260105,000000,9.65,10.005,9.5,9.9,1697870,0
XXI.US,D,20260106,000000,9.75,9.79,9.32,9.63,1449316,0
XXI.US,D,20260107,000000,9.575,9.575,9.06,9.45,1426657,0
XXI.US,D,20260108,000000,9.3793,9.7099,9.06,9.48,1415003,0
XXI.US,D,20260109,000000,9.5,9.5499,9.16,9.2,807174,0
