Symbol,Name,Latest,Change,%Change,Open,High,Low,Volume,Time
NVDA,Nvidia Corp,188.85,2.35,1.26%,189.84,192.93,188.26,148240406,2026/1/2
INTC,Intel Corp,39.38,2.48,6.72%,37.77,39.86,37.76,95396406,2026/1/2
TSLA,Tesla Inc,438.07,-11.65,-2.59%,457.8,458.34,435.3,85535398,2026/1/2
PLTR,Palantir Technologies Inc Cl A,167.86,-9.89,-5.56%,181.3,181.35,166.35,60634000,2026/1/2
SOFI,Sofi Technologies Inc,27.46,1.28,4.89%,26.66,27.5,25.79,55065496,2026/1/2
AMZN,Amazon.com Inc,226.5,-4.32,-1.87%,231.34,235.46,224.7,51456199,2026/1/2
F,Ford Motor Company,13.34,0.22,1.68%,13.18,13.39,13.06,46366800,2026/1/2
PATH,Uipath Inc Cl A,15.88,-0.51,-3.11%,16.5,16.59,15.49,44139500,2026/1/2
AAL,American Airlines Gp,15.48,0.15,0.98%,15.37,15.75,15.15,43940301,2026/1/2
RIVN,Rivian Automotive Inc Cl A,19.41,-0.3,-1.52%,19.78,20.71,18.9,42740199,2026/1/2
MU,Micron Technology,315.42,30.01,10.51%,295.13,315.6,294.86,42604199,2026/1/2
NFLX,Netflix Inc,90.99,-2.77,-2.95%,94.13,94.13,90.81,41155398,2026/1/2
AAPL,Apple Inc,271.01,-0.85,-0.31%,272.26,277.84,269,37838000,2026/1/2
AMD,Adv Micro Devices,223.47,9.31,4.35%,218.9,227.15,218.9,36446102,2026/1/2
PFE,Pfizer Inc,25.18,0.28,1.12%,24.98,25.3,24.83,35976600,2026/1/2
KVUE,Kenvue Inc,17.32,0.07,0.41%,17.27,17.42,17.1803,33294700,2026/1/2
GOOGL,Alphabet Cl A,315.15,2.15,0.69%,316.9,322.5,310.33,32009301,2026/1/2
RKLB,Rocket Lab Corporation,75.99,6.23,8.93%,70.63,76.24,66.85,31517600,2026/1/2
NU,Nu Holdings Ltd Cl A,17.02,0.28,1.67%,17.06,17.06,16.65,30939800,2026/1/2
VZ,Verizon Communications Inc,40.52,-0.21,-0.52%,40.77,40.9,40.3,30856800,2026/1/2
SMCI,Super Micro Computer,30.96,1.69,5.77%,29.96,31.4,29.93,30675000,2026/1/2
CFLT,Confluent Inc Cl A,30.11,-0.13,-0.43%,30.27,30.3,30.09,29419000,2026/1/2
T,AT&T Inc,24.56,-0.28,-1.13%,24.79,24.81,24.5,28718400,2026/1/2
WBD,Discovery Inc Series A,28.51,-0.31,-1.08%,28.79,28.85,28.41,27761699,2026/1/2
HOOD,Robinhood Markets Inc Cl A,115.21,2.11,1.87%,115.48,116.03,110.41,25793400,2026/1/2
MSFT,Microsoft Corp,472.94,-10.68,-2.21%,484.39,484.66,470.16,25571500,2026/1/2
BAC,Bank of America Corp,55.95,0.95,1.73%,55.03,55.99,54.88,25503500,2026/1/2
AVGO,Broadcom Ltd,347.62,1.52,0.44%,352.77,360.66,345.56,25398600,2026/1/2
CMCSA,Comcast Corp A,29.54,-0.35,-1.17%,29.89,29.95,29.38,24284102,2026/1/2
AGNC,Agnc Investment Corp,10.93,0.21,1.96%,10.72,11.01,10.65,23172201,2026/1/2
AUR,Aurora Innovation Inc Cl A,3.87,0.03,0.78%,3.86,3.95,3.79,22506299,2026/1/2
NKE,Nike Inc,63.28,-0.43,-0.67%,64,64.13,62.55,22284000,2026/1/2
GOOG,Alphabet Cl C,315.32,1.52,0.48%,317.59,322.91,310.65,22043699,2026/1/2
RKT,Rocket Companies Inc Cl A,19.88,0.52,2.69%,19.5,20.085,19.28,21614600,2026/1/2
MSTR,Strategy Inc,157.16,5.21,3.43%,154.59,160.79,149.75,20185500,2026/1/2
ASTS,Ast Spacemobile Inc,83.47,10.84,14.92%,74.34,83.76,69.25,19106699,2026/1/2
HPQ,HP Inc,22.12,-0.16,-0.72%,22.54,22.6,22.01,19045300,2026/1/2
PINS,Pinterest Inc,26.56,0.67,2.59%,26.18,26.965,25.95,17788700,2026/1/2
HBAN,Huntington Bancshares Inc,17.48,0.13,0.75%,17.38,17.59,17.14,17730301,2026/1/2
CPNG,Coupang Inc Cl A,23.37,-0.22,-0.93%,23.7,23.7,22.895,17142000,2026/1/2
KEY,Keycorp,20.98,0.34,1.65%,20.63,21.08,20.4945,16134600,2026/1/2
PCG,Pacific Gas & Electric Company,16.27,0.2,1.24%,16.19,16.38,15.895,16113300,2026/1/2
CCL,Carnival Corp,30.92,0.38,1.24%,30.69,31.22,30.37,15892000,2026/1/2
CSCO,Cisco Systems Inc,76.04,-0.99,-1.29%,76.64,76.95,75.61,15749800,2026/1/2
AMCR,Amcor Plc,8.41,0.07,0.84%,8.35,8.43,8.2611,15598200,2026/1/2
MRVL,Marvell Technology Inc,89.39,4.41,5.19%,86.74,90.08,86.6,14987500,2026/1/2
PYPL,Paypal Holdings,58.14,-0.24,-0.41%,58.67,58.8,57.65,14693100,2026/1/2
SLB,Slb Limited,40.2,1.82,4.74%,38.41,40.4363,38.065,14637100,2026/1/2
UAA,Under Armour,5.29,0.32,6.44%,5.16,5.465,5.1401,14580100,2026/1/2
ORCL,Oracle Corp,195.71,0.8,0.41%,197.47,198.59,194.21,14540600,2026/1/2
WMT,Walmart Inc,112.76,1.35,1.21%,111.43,112.79,111.12,14306500,2026/1/2
XOM,Exxon Mobil Corp,122.65,2.31,1.92%,120.09,122.68,119.6067,14175000,2026/1/2
DJT,Trump Media & Technology Group Corp,13.77,0.53,4.00%,13.35,14.17,13.24,14038800,2026/1/2
META,Meta Platforms Inc,650.41,-9.68,-1.47%,662.72,664.39,643.5,13726500,2026/1/2
QS,Quantumscape Corp,11.06,0.64,6.14%,10.55,11.06,10.32,13722600,2026/1/2
UBER,Uber Technologies Inc,82.86,1.15,1.41%,82.04,83.66,81.4697,13095000,2026/1/2
KHC,Kraft Heinz Company,24.39,0.14,0.58%,24.29,24.56,24.06,12839500,2026/1/2
CMG,Chipotle Mexican Grill,37.49,0.49,1.32%,37.25,37.67,36.72,12791100,2026/1/2
KO,Coca-Cola Company,69.12,-0.79,-1.13%,69.85,69.87,68.975,12151300,2026/1/2
MO,Altria Group,57.31,-0.35,-0.61%,57.66,57.7855,57.05,12112400,2026/1/2
LRCX,Lam Research Corp,185.06,13.88,8.11%,177.85,185.78,177.5,11957301,2026/1/2
USB,U.S. Bancorp,53.93,0.57,1.07%,53.33,54.18,52.99,11657000,2026/1/2
FCX,Freeport-Mcmoran Inc,51.93,1.14,2.24%,51.72,52.185,51,11518400,2026/1/2
SBUX,Starbucks Corp,83.97,-0.24,-0.28%,84.22,84.96,83.02,11334800,2026/1/2
BA,Boeing Company,227.77,10.65,4.91%,218.15,227.77,215.24,11261000,2026/1/2
HPE,Hewlett Packard Enterprise Comp,24.17,0.15,0.62%,24.28,24.39,23.82,11238800,2026/1/2
SNDK,Sandisk Corp,275.24,37.86,15.95%,244.35,275.8,244,11104300,2026/1/2
NLY,Annaly Capital Management Inc,22.9,0.54,2.42%,22.37,23.015,22.24,10850100,2026/1/2
MDLZ,Mondelez Intl Inc,53.65,-0.18,-0.33%,53.94,54.28,53.41,10842200,2026/1/2
OXY,Occidental Petroleum Corp,42.38,1.26,3.06%,41.24,42.735,41.025,10798300,2026/1/2
RF,Regions Financial Corp,27.56,0.46,1.70%,27.09,27.67,26.81,10729800,2026/1/2
CAG,Conagra Brands Inc,17.3,-0.01,-0.06%,17.23,17.4366,17.09,10643500,2026/1/2
OWL,Blue Owl Capital Inc,15.31,0.37,2.48%,15.05,15.475,14.995,10527600,2026/1/2
KMI,Kinder Morgan Inc,27.71,0.22,0.80%,27.49,27.895,27.19,10257400,2026/1/2
CSX,CSX Corp,36.27,0.02,0.06%,36.4,36.44,35.94,10167399,2026/1/2
DKNG,Draftkings Inc,35.66,1.2,3.48%,34.59,35.97,34.42,10158200,2026/1/2
DOW,Dow Inc,24.27,0.89,3.81%,23.55,24.42,23.305,10052700,2026/1/2
TOST,Toast Inc Cl A,34.02,-1.49,-4.20%,35.77,36.03,33.67,10026500,2026/1/2
MRK,Merck & Company,106.45,1.19,1.13%,105.53,106.6248,104.43,9992400,2026/1/2
CLF,Cleveland-Cliffs Inc,13.6,0.32,2.41%,13.51,13.6,13.2701,9931400,2026/1/2
